数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,5854.87	,5729.21	,5502.56	,5200.97	,4901.07	,4636.56	,4229.52	,3947.16	,3784.24	,
农业总产值 (亿元) 	,	,2319.88	,2193.52	,2065.66	,1906.02	,1818.18	,1774.77	,1653.45	,1527.00	,1474.49	,
林业总产值 (亿元) 	,	,458.71	,454.75	,429.92	,424.87	,390.57	,417.33	,389.00	,327.73	,318.28	,
牧业总产值 (亿元) 	,	,1099.83	,1083.36	,1066.25	,1059.91	,1141.12	,914.39	,718.42	,750.49	,768.11	,
渔业总产值 (亿元) 	,	,1761.18	,1789.56	,1740.75	,1621.51	,1373.12	,1361.68	,1318.20	,1202.05	,1091.29	,
农林牧渔业总产值指数 (上年=100) 	,	,103.4	,104.3	,103.9	,105.1	,103.3	,103.6	,103.5	,103.5	,103.7	,
农业总产值指数 (上年=100) 	,	,104.3	,103.7	,105.2	,104.1	,104.0	,104.0	,104.7	,103.9	,103.0	,
林业总产值指数 (上年=100) 	,	,104.5	,103.6	,105.0	,102.3	,103.2	,104.1	,104.1	,104.1	,104.0	,
牧业总产值指数 (上年=100) 	,	,101.8	,106.2	,104.3	,110.5	,103.9	,100.5	,97.9	,102.1	,103.4	,
渔业总产值指数 (上年=100) 	,	,102.9	,104.0	,101.7	,102.9	,101.9	,104.3	,105.1	,104.4	,104.6	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
