数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,361.92	,320.14	,278.62	,255.34	,233.53	,212.81	,195.47	,178.16	,172.97	,
农业总产值 (亿元) 	,	,148.04	,132.60	,120.95	,115.31	,103.99	,94.90	,88.08	,78.44	,52.23	,
林业总产值 (亿元) 	,	,10.11	,9.51	,6.96	,3.97	,3.68	,3.54	,3.20	,2.95	,2.39	,
牧业总产值 (亿元) 	,	,195.12	,169.97	,143.40	,129.32	,119.69	,108.41	,98.36	,92.17	,113.84	,
渔业总产值 (亿元) 	,	,0.35	,0.28	,0.22	,0.29	,0.15	,0.36	,0.35	,0.33	,0.24	,
农林牧渔业总产值指数 (上年=100) 	,	,111.6	,113.1	,104.8	,105.6	,108.2	,107.7	,105.5	,104.4	,112.6	,
农业总产值指数 (上年=100) 	,	,110.2	,107.9	,100.8	,107.1	,108.0	,106.6	,108.0	,104.3	,74.7	,
林业总产值指数 (上年=100) 	,	,105.0	,134.4	,168.6	,104.2	,102.5	,109.4	,104.3	,119.4	,110.4	,
牧业总产值指数 (上年=100) 	,	,113.3	,116.7	,106.6	,104.4	,108.8	,109.0	,102.7	,104.1	,147.1	,
渔业总产值指数 (上年=100) 	,	,123.3	,125.2	,72.4	,154.4	,39.5	,103.5	,102.1	,109.0	,136.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
