数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,5109.12	,4953.61	,4908.67	,4691.97	,4358.62	,3888.99	,3619.52	,3413.86	,3123.13	,
农业总产值 (亿元) 	,	,3483.72	,3360.32	,3313.70	,3123.71	,2781.80	,2535.68	,2288.71	,2076.99	,1900.61	,
林业总产值 (亿元) 	,	,362.34	,358.49	,340.00	,319.82	,293.66	,275.44	,253.30	,228.80	,195.00	,
牧业总产值 (亿元) 	,	,922.18	,907.86	,941.40	,958.96	,1019.01	,829.58	,846.27	,885.79	,820.80	,
渔业总产值 (亿元) 	,	,86.28	,81.19	,79.60	,69.83	,61.09	,57.70	,54.77	,60.09	,59.11	,
农林牧渔业总产值指数 (上年=100) 	,	,103.9	,104.0	,104.2	,109.2	,106.5	,105.9	,107.0	,106.6	,106.2	,
农业总产值指数 (上年=100) 	,	,104.2	,104.0	,103.5	,108.8	,107.7	,108.4	,108.4	,107.6	,106.9	,
林业总产值指数 (上年=100) 	,	,107.4	,106.7	,103.9	,107.9	,108.2	,108.0	,108.4	,107.9	,109.0	,
牧业总产值指数 (上年=100) 	,	,101.6	,102.8	,105.7	,110.2	,102.8	,98.5	,104.5	,104.8	,103.2	,
渔业总产值指数 (上年=100) 	,	,104.8	,104.9	,106.5	,114.6	,106.4	,106.4	,95.2	,103.6	,116.7	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
