数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,5125.35	,5266.81	,5180.03	,4927.73	,4582.56	,4368.25	,4061.93	,3851.62	,3764.09	,
农业总产值 (亿元) 	,	,2178.85	,2284.53	,2258.29	,2222.54	,2056.82	,1912.02	,1749.41	,1620.48	,1589.88	,
林业总产值 (亿元) 	,	,136.30	,144.64	,161.70	,120.95	,121.04	,117.43	,149.45	,140.31	,133.97	,
牧业总产值 (亿元) 	,	,1664.13	,1691.45	,1694.61	,1683.94	,1604.71	,1479.54	,1346.17	,1289.18	,1277.64	,
渔业总产值 (亿元) 	,	,953.20	,957.02	,881.26	,719.90	,617.47	,669.59	,628.48	,592.24	,559.48	,
农林牧渔业总产值指数 (上年=100) 	,	,104.2	,104.7	,103.2	,105.7	,103.0	,103.0	,102.6	,103.0	,97.4	,
农业总产值指数 (上年=100) 	,	,102.8	,104.1	,102.3	,103.6	,102.0	,105.6	,102.4	,103.5	,92.6	,
林业总产值指数 (上年=100) 	,	,101.4	,103.9	,121.9	,99.5	,105.4	,85.3	,104.3	,102.2	,93.5	,
牧业总产值指数 (上年=100) 	,	,106.3	,105.8	,103.0	,110.0	,105.3	,101.4	,103.4	,104.0	,97.8	,
渔业总产值指数 (上年=100) 	,	,104.8	,105.0	,104.2	,105.5	,103.5	,104.5	,103.8	,103.7	,108.5	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
