数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,3316.71	,3154.29	,3068.45	,2935.65	,2749.05	,2337.81	,2052.41	,1902.47	,1851.60	,
农业总产值 (亿元) 	,	,2116.30	,1978.04	,1881.78	,1759.89	,1596.13	,1397.49	,1292.68	,1165.69	,1123.83	,
林业总产值 (亿元) 	,	,205.73	,188.11	,176.42	,168.13	,126.04	,113.12	,101.14	,85.17	,73.43	,
牧业总产值 (亿元) 	,	,761.33	,766.62	,800.94	,804.15	,871.85	,679.52	,520.05	,522.48	,538.69	,
渔业总产值 (亿元) 	,	,148.16	,142.86	,136.99	,138.17	,107.31	,105.30	,100.39	,94.81	,85.32	,
农林牧渔业总产值指数 (上年=100) 	,	,102.6	,104.5	,104.5	,109.2	,105.0	,102.8	,102.5	,103.9	,104.5	,
农业总产值指数 (上年=100) 	,	,104.4	,104.6	,103.9	,104.9	,105.9	,105.5	,102.2	,104.0	,104.3	,
林业总产值指数 (上年=100) 	,	,107.2	,107.6	,106.6	,116.0	,109.9	,110.8	,100.1	,111.5	,111.4	,
牧业总产值指数 (上年=100) 	,	,96.0	,103.5	,105.2	,116.4	,102.7	,94.0	,104.7	,101.6	,103.1	,
渔业总产值指数 (上年=100) 	,	,103.8	,103.6	,103.7	,105.1	,99.2	,102.8	,97.4	,107.5	,110.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
