数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,4704.41	,4724.91	,4601.93	,4313.44	,4056.61	,3536.80	,3239.99	,3077.62	,2994.83	,
农业总产值 (亿元) 	,	,3474.45	,3468.13	,3310.43	,3035.65	,2807.07	,2445.83	,2244.96	,2095.29	,1997.81	,
林业总产值 (亿元) 	,	,103.74	,96.37	,86.12	,99.97	,116.89	,106.06	,104.62	,96.88	,85.54	,
牧业总产值 (亿元) 	,	,805.29	,864.39	,925.44	,917.76	,893.35	,757.24	,682.83	,695.22	,734.75	,
渔业总产值 (亿元) 	,	,37.98	,36.66	,36.20	,34.99	,30.01	,31.38	,29.83	,27.45	,26.25	,
农林牧渔业总产值指数 (上年=100) 	,	,103.6	,104.0	,104.6	,106.7	,103.5	,104.3	,103.3	,104.5	,104.1	,
农业总产值指数 (上年=100) 	,	,104.3	,104.0	,103.9	,104.0	,104.0	,106.3	,103.2	,105.4	,104.9	,
林业总产值指数 (上年=100) 	,	,104.0	,102.6	,110.9	,113.7	,113.9	,107.3	,117.3	,114.0	,114.6	,
牧业总产值指数 (上年=100) 	,	,100.2	,104.0	,105.4	,114.6	,100.6	,97.0	,101.0	,100.7	,99.7	,
渔业总产值指数 (上年=100) 	,	,106.5	,106.2	,106.6	,105.8	,100.6	,104.7	,105.7	,103.4	,108.7	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
