数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,5904.11	,6492.51	,6718.24	,6459.97	,6438.11	,5929.97	,5624.29	,5586.63	,5202.87	,
农业总产值 (亿元) 	,	,3794.98	,4200.38	,4320.48	,4099.55	,4044.15	,3774.48	,3634.99	,3471.26	,3189.71	,
林业总产值 (亿元) 	,	,201.03	,207.98	,212.31	,208.05	,192.35	,193.91	,186.39	,175.23	,163.72	,
牧业总产值 (亿元) 	,	,1513.79	,1722.87	,1842.84	,1833.07	,1912.96	,1671.79	,1542.37	,1701.70	,1627.07	,
渔业总产值 (亿元) 	,	,175.96	,155.06	,147.85	,135.90	,115.57	,123.14	,105.69	,98.00	,92.00	,
农林牧渔业总产值指数 (上年=100) 	,	,103.1	,102.6	,102.5	,107.1	,102.6	,102.5	,103.5	,104.8	,105.5	,
农业总产值指数 (上年=100) 	,	,103.3	,101.7	,101.7	,105.8	,101.4	,102.5	,104.5	,104.1	,105.4	,
林业总产值指数 (上年=100) 	,	,106.0	,106.1	,105.0	,109.6	,104.7	,105.1	,105.8	,105.7	,108.7	,
牧业总产值指数 (上年=100) 	,	,101.7	,103.7	,103.9	,109.5	,105.2	,101.7	,100.6	,105.3	,104.7	,
渔业总产值指数 (上年=100) 	,	,105.6	,106.2	,103.7	,106.8	,103.9	,103.9	,107.4	,107.2	,108.1	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
