数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,6.65	,6.75	,6.61	,6.30	,6.06	,6.17	,7.29	,8.55	,9.65	,
天津市	,	,15.21	,15.44	,15.52	,15.66	,15.29	,16.24	,16.95	,18.01	,21.78	,
河北省	,	,263.38	,266.43	,271.64	,276.87	,285.71	,297.27	,312.40	,322.00	,331.79	,
山西省	,	,103.81	,103.22	,103.47	,105.64	,107.41	,108.41	,109.61	,112.00	,117.07	,
内蒙古自治区	,	,221.75	,220.80	,227.36	,241.90	,207.69	,218.44	,222.67	,235.04	,234.64	,
辽宁省	,	,129.11	,129.51	,130.51	,135.03	,137.57	,139.91	,145.02	,145.47	,148.06	,
吉林省	,	,226.29	,222.50	,222.75	,223.00	,225.29	,227.06	,228.30	,231.02	,233.61	,
黑龙江省	,	,240.27	,238.60	,238.50	,238.97	,224.22	,223.27	,245.64	,251.20	,252.75	,
上海市	,	,6.35	,6.44	,6.56	,6.59	,6.89	,7.53	,8.37	,8.90	,9.13	,
江苏省	,	,264.17	,267.04	,270.14	,275.56	,280.75	,286.21	,292.45	,303.85	,312.52	,
浙江省	,	,65.38	,65.81	,67.05	,68.26	,69.61	,72.50	,77.76	,82.63	,84.48	,
安徽省	,	,275.45	,277.99	,280.19	,284.73	,289.90	,298.02	,311.80	,318.72	,327.01	,
福建省	,	,86.44	,89.15	,92.07	,96.63	,100.81	,106.26	,110.74	,116.32	,123.84	,
江西省	,	,105.99	,107.12	,107.71	,108.59	,108.81	,115.57	,123.20	,134.97	,141.97	,
山东省	,	,349.58	,354.79	,362.09	,371.03	,380.88	,395.34	,420.35	,439.96	,456.46	,
河南省	,	,571.07	,583.96	,595.31	,624.66	,647.98	,666.72	,692.79	,706.70	,715.03	,
湖北省	,	,249.95	,254.39	,257.98	,262.62	,267.32	,273.89	,295.82	,317.93	,327.96	,
湖南省	,	,211.81	,213.34	,215.87	,219.06	,223.73	,229.01	,242.61	,245.26	,246.44	,
广东省	,	,204.89	,206.79	,208.74	,212.87	,219.80	,225.79	,231.32	,258.30	,261.02	,
广西壮族自治区	,	,247.94	,247.57	,249.20	,251.89	,247.85	,252.04	,255.05	,263.83	,262.14	,
海南省	,	,36.39	,37.47	,38.64	,40.77	,42.61	,46.26	,48.37	,51.36	,50.62	,
重庆市	,	,88.19	,88.44	,88.74	,89.05	,89.83	,91.08	,93.17	,95.46	,96.14	,
四川省	,	,200.27	,202.16	,204.37	,207.16	,210.82	,222.77	,235.21	,241.95	,248.98	,
贵州省	,	,73.58	,74.74	,75.41	,75.98	,78.78	,83.18	,89.48	,95.65	,103.67	,
云南省	,	,177.53	,179.34	,183.38	,187.33	,196.65	,204.03	,217.37	,231.94	,235.58	,
西藏自治区	,	,2.57	,2.80	,2.83	,4.33	,4.40	,4.82	,5.19	,5.53	,5.91	,
陕西省	,	,193.71	,193.67	,194.16	,200.70	,201.91	,202.52	,229.64	,232.15	,233.05	,
甘肃省	,	,77.25	,76.61	,77.13	,77.05	,80.36	,80.88	,83.17	,84.49	,93.42	,
青海省	,	,4.49	,4.54	,4.71	,4.89	,5.45	,6.19	,8.32	,8.67	,8.76	,
宁夏回族自治区	,	,36.76	,36.68	,36.88	,37.46	,38.06	,38.44	,38.37	,40.80	,40.72	,
新疆维吾尔自治区	,	,251.94	,247.66	,243.68	,240.69	,248.23	,257.76	,254.99	,250.74	,250.19	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
