数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,1.67	,1.90	,2.04	,2.09	,2.17	,2.25	,3.02	,3.80	,4.39	,
天津市	,	,4.33	,4.46	,4.65	,4.82	,4.92	,5.30	,5.63	,6.61	,8.99	,
河北省	,	,85.68	,87.75	,92.42	,96.06	,100.61	,106.49	,114.47	,140.29	,144.95	,
山西省	,	,16.99	,17.74	,18.45	,19.68	,20.94	,22.61	,25.29	,28.22	,31.60	,
内蒙古自治区	,	,68.12	,70.57	,75.79	,87.56	,77.11	,83.46	,86.15	,94.85	,98.43	,
辽宁省	,	,38.94	,39.75	,40.64	,43.79	,47.19	,51.21	,54.83	,56.93	,60.49	,
吉林省	,	,36.10	,37.78	,40.91	,42.78	,50.20	,53.30	,58.39	,63.28	,66.87	,
黑龙江省	,	,75.90	,76.41	,76.13	,75.94	,71.94	,72.97	,83.56	,85.45	,87.10	,
上海市	,	,2.34	,2.42	,2.42	,2.55	,2.79	,3.13	,3.75	,4.32	,4.62	,
江苏省	,	,121.58	,124.63	,126.87	,131.30	,137.10	,141.11	,145.59	,151.36	,158.17	,
浙江省	,	,19.64	,20.55	,21.75	,23.75	,29.51	,35.43	,40.15	,42.90	,44.19	,
安徽省	,	,62.21	,65.68	,71.22	,79.39	,83.47	,87.97	,95.60	,100.75	,104.86	,
福建省	,	,30.23	,31.27	,32.39	,34.62	,36.80	,39.93	,41.94	,44.35	,47.53	,
江西省	,	,26.98	,27.39	,27.69	,28.16	,28.77	,30.60	,34.03	,38.10	,41.24	,
山东省	,	,92.06	,94.74	,98.18	,104.53	,113.93	,119.17	,130.67	,139.16	,146.04	,
河南省	,	,147.50	,152.39	,157.58	,172.64	,182.24	,190.02	,201.67	,219.98	,228.30	,
湖北省	,	,79.76	,84.41	,88.87	,96.10	,101.36	,104.67	,113.07	,128.22	,133.97	,
湖南省	,	,58.94	,62.92	,66.53	,70.69	,79.90	,83.82	,94.06	,97.93	,100.45	,
广东省	,	,76.13	,77.25	,78.26	,80.06	,84.11	,86.27	,88.64	,103.60	,104.85	,
广西壮族自治区	,	,62.68	,64.45	,65.69	,68.20	,71.18	,72.82	,73.81	,76.03	,74.89	,
海南省	,	,9.40	,9.74	,10.20	,10.95	,11.72	,13.87	,14.81	,15.57	,15.49	,
重庆市	,	,41.56	,41.81	,42.12	,42.56	,43.13	,44.06	,45.85	,47.16	,48.38	,
四川省	,	,73.07	,74.47	,76.44	,81.85	,90.71	,103.53	,112.15	,117.04	,121.94	,
贵州省	,	,29.44	,30.01	,30.48	,30.87	,32.55	,35.86	,40.07	,46.54	,50.89	,
云南省	,	,79.53	,80.70	,83.11	,86.51	,94.43	,98.54	,105.03	,112.93	,115.50	,
西藏自治区	,	,0.88	,0.85	,0.81	,1.23	,1.26	,1.46	,1.49	,1.80	,1.95	,
陕西省	,	,71.79	,71.83	,73.42	,78.05	,79.80	,80.36	,88.85	,90.02	,92.20	,
甘肃省	,	,29.43	,29.81	,29.72	,29.96	,30.93	,31.65	,33.18	,34.08	,38.55	,
青海省	,	,1.74	,1.83	,1.92	,1.92	,2.08	,2.62	,3.45	,3.54	,3.62	,
宁夏回族自治区	,	,13.46	,13.45	,13.65	,13.92	,15.83	,16.18	,16.37	,17.35	,17.41	,
新疆维吾尔自治区	,	,105.81	,104.40	,103.80	,102.80	,105.18	,109.54	,109.88	,109.64	,112.63	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
