数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,0.25	,0.30	,0.33	,0.31	,0.32	,0.34	,0.40	,0.47	,0.54	,
天津市	,	,1.45	,1.51	,1.61	,1.78	,1.88	,1.91	,2.00	,2.29	,2.90	,
河北省	,	,18.84	,19.41	,21.55	,22.03	,22.28	,23.37	,23.94	,43.70	,45.17	,
山西省	,	,7.54	,7.83	,8.17	,8.85	,9.39	,10.23	,11.57	,13.11	,14.80	,
内蒙古自治区	,	,14.96	,15.03	,20.28	,46.75	,36.04	,38.48	,40.83	,43.54	,42.90	,
辽宁省	,	,7.64	,7.79	,7.88	,8.64	,9.15	,9.53	,9.98	,10.03	,10.75	,
吉林省	,	,4.64	,4.82	,4.85	,5.03	,5.68	,5.87	,6.29	,6.54	,6.95	,
黑龙江省	,	,46.48	,47.33	,47.34	,47.61	,45.03	,44.07	,49.48	,52.58	,50.70	,
上海市	,	,0.28	,0.30	,0.31	,0.33	,0.35	,0.44	,0.55	,0.59	,0.64	,
江苏省	,	,22.25	,23.04	,24.33	,26.48	,31.08	,32.26	,33.97	,36.82	,40.88	,
浙江省	,	,2.96	,3.21	,3.54	,3.93	,6.47	,7.83	,8.59	,9.34	,9.71	,
安徽省	,	,7.96	,10.22	,13.35	,21.29	,24.90	,26.18	,28.20	,32.36	,32.08	,
福建省	,	,11.80	,12.22	,12.47	,13.51	,14.11	,14.88	,15.53	,16.47	,17.70	,
江西省	,	,13.17	,13.41	,13.57	,14.05	,15.00	,15.99	,18.45	,20.51	,22.10	,
山东省	,	,28.88	,29.58	,30.65	,32.32	,36.36	,37.89	,42.13	,45.25	,47.06	,
河南省	,	,65.50	,68.50	,71.80	,80.89	,85.51	,89.69	,96.35	,108.08	,113.76	,
湖北省	,	,29.38	,32.90	,34.22	,39.71	,41.71	,42.87	,46.00	,54.56	,59.06	,
湖南省	,	,13.87	,15.63	,17.45	,18.93	,22.33	,23.02	,25.51	,26.05	,26.62	,
广东省	,	,24.46	,24.80	,25.19	,25.98	,25.80	,26.45	,27.05	,24.75	,25.03	,
广西壮族自治区	,	,25.41	,26.60	,26.76	,27.62	,28.56	,29.49	,29.97	,31.02	,31.13	,
海南省	,	,2.34	,2.40	,2.57	,2.68	,2.80	,2.99	,3.14	,3.39	,3.31	,
重庆市	,	,15.12	,15.22	,15.35	,15.46	,15.66	,15.98	,16.55	,16.93	,17.36	,
四川省	,	,30.50	,31.37	,32.10	,34.81	,38.05	,41.37	,45.39	,47.13	,48.93	,
贵州省	,	,7.94	,8.13	,8.28	,8.52	,9.00	,9.73	,10.65	,11.48	,12.29	,
云南省	,	,23.00	,23.58	,24.16	,24.82	,27.05	,28.15	,31.33	,34.66	,34.97	,
西藏自治区	,	,0.50	,0.48	,0.45	,0.56	,0.62	,0.73	,0.94	,1.04	,1.20	,
陕西省	,	,15.84	,16.23	,17.23	,17.31	,17.36	,17.40	,17.94	,18.64	,19.08	,
甘肃省	,	,14.06	,13.95	,14.28	,14.29	,14.93	,14.99	,15.52	,15.58	,18.25	,
青海省	,	,0.48	,0.43	,0.48	,0.50	,0.57	,0.95	,1.44	,1.46	,1.50	,
宁夏回族自治区	,	,4.13	,3.83	,4.03	,3.92	,3.87	,4.00	,4.05	,4.34	,4.44	,
新疆维吾尔自治区	,	,55.64	,56.27	,58.60	,58.24	,61.99	,64.48	,65.14	,64.88	,68.19	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
