数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,0.29	,0.32	,0.33	,0.33	,0.35	,0.34	,0.39	,0.44	,0.51	,
天津市	,	,1.07	,1.04	,1.08	,1.16	,1.18	,1.24	,1.34	,1.48	,1.55	,
河北省	,	,18.15	,18.54	,19.27	,20.01	,20.99	,22.20	,23.97	,26.83	,27.73	,
山西省	,	,6.83	,7.06	,7.38	,7.65	,8.21	,8.46	,8.97	,9.68	,10.35	,
内蒙古自治区	,	,15.38	,15.31	,15.80	,19.93	,17.10	,18.36	,18.45	,19.54	,19.15	,
辽宁省	,	,9.86	,9.94	,10.07	,10.58	,10.80	,11.18	,11.83	,11.67	,11.63	,
吉林省	,	,11.03	,11.62	,11.76	,12.32	,12.63	,13.18	,14.01	,15.06	,15.21	,
黑龙江省	,	,32.26	,32.70	,32.51	,32.37	,30.86	,30.58	,34.68	,35.62	,36.37	,
上海市	,	,0.11	,0.13	,0.14	,0.16	,0.17	,0.29	,0.29	,0.37	,0.41	,
江苏省	,	,13.98	,14.17	,14.67	,15.54	,16.44	,16.95	,17.23	,18.18	,18.88	,
浙江省	,	,4.53	,4.59	,4.94	,5.09	,5.16	,5.86	,6.10	,6.56	,6.58	,
安徽省	,	,10.97	,13.46	,15.93	,22.30	,25.40	,26.90	,27.90	,29.75	,30.73	,
福建省	,	,16.79	,17.31	,17.78	,18.89	,19.66	,20.77	,21.91	,23.05	,24.83	,
江西省	,	,14.48	,14.69	,14.75	,14.91	,15.28	,16.19	,17.85	,20.32	,21.24	,
山东省	,	,26.42	,27.18	,28.12	,29.70	,31.88	,33.02	,35.64	,38.33	,39.64	,
河南省	,	,45.15	,46.27	,47.58	,50.72	,52.24	,55.26	,57.44	,58.34	,63.31	,
湖北省	,	,20.40	,21.92	,22.68	,25.31	,26.06	,26.71	,29.07	,30.12	,30.65	,
湖南省	,	,26.87	,29.37	,31.38	,33.70	,37.22	,37.63	,41.64	,42.01	,43.08	,
广东省	,	,39.35	,39.95	,40.21	,40.80	,41.68	,43.27	,44.86	,50.72	,51.09	,
广西壮族自治区	,	,47.81	,49.11	,50.07	,51.95	,54.38	,55.09	,55.95	,58.45	,58.96	,
海南省	,	,6.64	,6.83	,7.14	,7.44	,7.68	,8.21	,8.61	,9.00	,8.82	,
重庆市	,	,5.11	,5.13	,5.16	,5.16	,5.21	,5.34	,5.34	,5.54	,5.44	,
四川省	,	,13.80	,13.99	,14.31	,14.86	,15.09	,15.78	,17.40	,17.63	,17.93	,
贵州省	,	,6.54	,6.66	,6.72	,6.80	,7.27	,7.92	,8.93	,9.24	,10.12	,
云南省	,	,20.16	,20.40	,20.78	,21.19	,22.72	,23.42	,24.57	,26.23	,26.16	,
西藏自治区	,	,0.13	,0.12	,0.12	,0.25	,0.34	,0.36	,0.36	,0.34	,0.49	,
陕西省	,	,19.13	,19.31	,19.76	,23.05	,22.98	,23.13	,24.13	,24.26	,24.69	,
甘肃省	,	,7.73	,7.42	,7.43	,7.25	,7.83	,7.88	,7.62	,7.63	,8.44	,
青海省	,	,0.12	,0.11	,0.12	,0.12	,0.15	,0.21	,0.18	,0.19	,0.18	,
宁夏回族自治区	,	,2.88	,2.76	,2.67	,2.90	,2.70	,2.73	,2.77	,2.78	,2.66	,
新疆维吾尔自治区	,	,24.38	,23.73	,22.54	,22.30	,22.27	,22.66	,20.86	,20.40	,20.08	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
