数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,	,	,	,7174.40	,7561.64	,7698.88	,8243.30	,8972.60	,9866.90	,
天津市	,	,	,	,	,7139.34	,7520.85	,8096.14	,9069.82	,10906.41	,11644.00	,
河北省	,	,	,	,	,102038.73	,103741.53	,103211.00	,109833.00	,128100.00	,138434.00	,
山西省	,	,	,	,	,47890.12	,48591.98	,48555.10	,49067.41	,49997.61	,48921.86	,
内蒙古自治区	,	,	,	,	,100259.96	,95296.75	,94193.96	,93969.20	,94306.34	,95631.25	,
辽宁省	,	,	,	,	,114383.51	,114381.11	,113504.80	,117975.72	,124791.34	,137273.22	,
吉林省	,	,	,	,	,47651.05	,51364.40	,53130.43	,56216.00	,60752.00	,59565.00	,
黑龙江省	,	,	,	,	,61008.71	,70501.00	,71830.70	,77431.00	,79770.00	,82575.00	,
上海市	,	,	,	,	,11712.37	,12863.57	,13213.04	,14780.80	,15664.30	,17061.92	,
江苏省	,	,	,	,	,105774.64	,111775.59	,114153.00	,116064.00	,115085.00	,113941.00	,
浙江省	,	,	,	,	,69686.69	,66892.00	,66737.00	,68731.00	,67891.00	,67300.00	,
安徽省	,	,	,	,	,102605.12	,103298.90	,103735.00	,97828.00	,97601.00	,96966.00	,
福建省	,	,	,	,	,46304.00	,51824.00	,58507.00	,60002.00	,62415.00	,62424.00	,
江西省	,	,	,	,	,52196.40	,52295.83	,52020.00	,52218.00	,53509.00	,52757.00	,
山东省	,	,	,	,	,259677.98	,265659.20	,267113.00	,276935.00	,287098.00	,297961.00	,
河南省	,	,	,	,	,140352.41	,151717.38	,150762.00	,152838.00	,157298.00	,163149.00	,
湖北省	,	,	,	,	,57267.62	,58039.24	,58801.00	,63554.00	,65876.00	,67306.00	,
湖南省	,	,	,	,	,79093.84	,83004.50	,83792.16	,85397.28	,85208.72	,84679.00	,
广东省	,	,	,	,	,43026.75	,42558.00	,43842.00	,44814.00	,45866.90	,45505.00	,
广西壮族自治区	,	,	,	,	,45404.03	,48712.46	,47577.33	,47195.12	,47693.00	,48445.00	,
海南省	,	,	,	,	,34246.47	,30579.72	,30550.10	,25539.00	,27641.86	,26703.98	,
重庆市	,	,	,	,	,41159.29	,41694.49	,42559.00	,44625.00	,45478.81	,45264.71	,
四川省	,	,	,	,	,116968.39	,118818.00	,123235.00	,120186.00	,130993.00	,132384.00	,
贵州省	,	,	,	,	,44224.14	,45410.55	,44120.87	,55030.67	,51138.39	,51053.00	,
云南省	,	,	,	,	,117326.44	,121557.65	,122139.00	,119685.00	,120150.00	,115926.00	,
西藏自治区	,	,	,	,	,1753.37	,1866.31	,1491.82	,1777.82	,1870.28	,1784.33	,
陕西省	,	,	,	,	,44293.83	,44724.10	,44779.57	,44146.71	,43953.56	,43716.55	,
甘肃省	,	,	,	,	,170728.09	,152955.74	,152253.00	,161272.00	,172188.00	,195092.00	,
青海省	,	,	,	,	,7158.72	,7378.30	,7779.67	,7556.34	,8415.78	,7943.90	,
宁夏回族自治区	,	,	,	,	,17958.36	,16388.24	,15600.41	,14975.22	,15087.33	,15136.78	,
新疆维吾尔自治区	,	,	,	,	,261479.08	,259674.05	,262676.50	,269839.00	,252646.00	,266197.50	,
数据来源：国家统计局
