数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,	,	,	,0.23	,0.21	,0.23	,0.26	,0.27	,0.30	,
天津市	,	,	,	,	,0.17	,0.20	,0.22	,0.22	,0.24	,0.33	,
河北省	,	,	,	,	,5.27	,5.43	,5.73	,6.15	,7.76	,8.17	,
山西省	,	,	,	,	,2.36	,2.49	,2.53	,2.65	,2.88	,3.06	,
内蒙古自治区	,	,	,	,	,2.67	,2.34	,2.73	,2.96	,3.56	,3.23	,
辽宁省	,	,	,	,	,4.34	,4.47	,5.11	,5.51	,5.75	,5.63	,
吉林省	,	,	,	,	,4.51	,4.69	,4.87	,5.10	,5.63	,5.85	,
黑龙江省	,	,	,	,	,5.71	,6.07	,6.43	,7.42	,8.32	,8.25	,
上海市	,	,	,	,	,0.24	,0.26	,0.28	,0.32	,0.35	,0.39	,
江苏省	,	,	,	,	,6.35	,6.57	,6.74	,6.96	,7.32	,7.62	,
浙江省	,	,	,	,	,3.46	,3.66	,3.86	,4.37	,4.63	,4.95	,
安徽省	,	,	,	,	,7.60	,8.33	,8.83	,9.42	,9.94	,10.57	,
福建省	,	,	,	,	,4.17	,4.32	,4.55	,4.91	,5.22	,5.54	,
江西省	,	,	,	,	,5.16	,5.27	,6.27	,7.72	,8.77	,9.22	,
山东省	,	,	,	,	,10.82	,11.43	,12.03	,12.99	,14.07	,14.86	,
河南省	,	,	,	,	,9.74	,10.24	,10.72	,11.36	,12.07	,12.71	,
湖北省	,	,	,	,	,9.05	,9.31	,9.70	,10.33	,10.96	,11.74	,
湖南省	,	,	,	,	,9.11	,10.15	,10.55	,11.42	,11.60	,11.87	,
广东省	,	,	,	,	,7.74	,8.32	,8.75	,9.37	,11.30	,11.37	,
广西壮族自治区	,	,	,	,	,6.42	,6.60	,6.81	,6.97	,7.25	,8.57	,
海南省	,	,	,	,	,1.87	,1.97	,2.14	,2.32	,3.34	,3.40	,
重庆市	,	,	,	,	,1.60	,1.62	,1.65	,1.72	,1.75	,1.76	,
四川省	,	,	,	,	,4.10	,4.21	,4.63	,5.13	,5.58	,5.80	,
贵州省	,	,	,	,	,0.70	,0.84	,0.92	,1.11	,1.34	,1.37	,
云南省	,	,	,	,	,4.11	,4.48	,4.74	,5.26	,5.77	,5.86	,
西藏自治区	,	,	,	,	,0.05	,0.07	,0.08	,0.10	,0.11	,0.11	,
陕西省	,	,	,	,	,1.16	,1.20	,1.22	,1.26	,1.33	,1.32	,
甘肃省	,	,	,	,	,2.81	,4.03	,4.19	,4.29	,5.20	,6.99	,
青海省	,	,	,	,	,0.11	,0.12	,0.14	,0.18	,0.19	,0.19	,
宁夏回族自治区	,	,	,	,	,0.22	,0.22	,0.22	,0.23	,0.25	,0.26	,
新疆维吾尔自治区	,	,	,	,	,2.04	,2.18	,2.29	,2.37	,2.77	,2.76	,
数据来源：国家统计局
