数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,120.61	,118.00	,112.14	,109.32	,109.35	,109.24	,109.67	,115.48	,128.47	,
天津市	,	,309.52	,309.00	,293.98	,285.43	,299.12	,304.80	,304.66	,306.62	,306.62	,
河北省	,	,4123.20	,4122.00	,4102.86	,3952.24	,4470.03	,4482.16	,4492.33	,4474.67	,4457.64	,
山西省	,	,1530.94	,1490.90	,1502.01	,1498.06	,1517.38	,1519.34	,1518.68	,1511.21	,1487.29	,
内蒙古自治区	,	,4887.78	,4809.00	,4379.31	,4379.28	,3199.12	,3199.19	,3196.52	,3174.83	,3131.53	,
辽宁省	,	,1739.79	,1721.20	,1716.63	,1693.05	,1632.54	,1629.18	,1619.33	,1610.55	,1572.99	,
吉林省	,	,2096.98	,1949.30	,1906.48	,1918.95	,1905.44	,1909.50	,1893.05	,1893.05	,1832.17	,
黑龙江省	,	,6250.84	,6238.50	,6152.89	,6220.51	,6171.61	,6177.59	,6119.57	,6030.97	,5932.74	,
上海市	,	,160.94	,161.60	,160.62	,161.98	,165.05	,190.76	,190.76	,190.76	,189.81	,
江苏省	,	,3873.77	,3856.70	,3851.74	,3826.29	,4224.73	,4205.44	,4179.83	,4131.88	,4054.07	,
浙江省	,	,1243.78	,1240.70	,1226.14	,1260.54	,1415.70	,1405.43	,1440.80	,1444.70	,1446.31	,
安徽省	,	,4701.07	,4679.10	,4576.18	,4509.87	,4608.83	,4580.84	,4538.29	,4504.14	,4437.46	,
福建省	,	,873.13	,858.80	,855.47	,825.77	,1110.42	,1076.78	,1085.18	,1064.84	,1055.37	,
江西省	,	,2201.63	,2186.80	,2166.49	,2158.03	,2038.49	,2036.14	,2032.02	,2039.42	,2036.83	,
山东省	,	,5271.43	,5241.70	,5209.09	,5069.92	,5293.56	,5271.37	,5235.99	,5191.06	,5161.16	,
河南省	,	,5767.37	,5666.70	,5623.22	,5518.24	,5463.07	,5328.95	,5288.69	,5273.63	,5242.92	,
湖北省	,	,3226.94	,3220.20	,3208.84	,3111.09	,3086.04	,2968.99	,2931.90	,2919.17	,2905.57	,
湖南省	,	,2932.04	,2917.60	,2876.00	,2875.06	,3192.90	,3176.11	,3164.00	,3145.87	,3132.37	,
广东省	,	,1560.93	,1560.20	,1560.23	,1529.21	,1776.46	,1773.40	,1775.21	,1774.61	,1771.71	,
广西壮族自治区	,	,1778.33	,1695.60	,1549.35	,1434.96	,1731.03	,1713.08	,1706.88	,1669.87	,1646.07	,
海南省	,	,336.31	,334.50	,330.17	,326.62	,292.21	,290.63	,290.48	,289.25	,289.95	,
重庆市	,	,698.45	,681.10	,669.87	,665.27	,698.32	,697.68	,696.94	,694.26	,690.60	,
四川省	,	,3025.72	,2994.20	,2975.74	,2784.14	,2992.24	,2954.09	,2932.54	,2873.10	,2813.55	,
贵州省	,	,1244.11	,1229.90	,1185.17	,1270.21	,1165.49	,1153.99	,1132.24	,1114.12	,1088.07	,
云南省	,	,2057.47	,2036.00	,2035.26	,1988.24	,1978.07	,1922.49	,1898.07	,1851.42	,1809.39	,
西藏自治区	,	,305.00	,304.60	,304.63	,297.88	,282.82	,275.94	,264.53	,261.23	,251.53	,
陕西省	,	,1186.64	,1181.20	,1161.63	,1192.47	,1336.81	,1285.16	,1274.99	,1263.09	,1251.39	,
甘肃省	,	,1453.91	,1423.70	,1349.48	,1298.94	,1338.60	,1328.86	,1337.54	,1331.43	,1317.51	,
青海省	,	,229.15	,222.10	,222.01	,217.75	,219.25	,213.33	,214.04	,206.61	,202.35	,
宁夏回族自治区	,	,564.69	,564.00	,560.57	,563.78	,552.53	,538.29	,523.45	,511.45	,515.15	,
新疆维吾尔自治区	,	,6679.22	,6629.60	,6534.69	,6666.39	,4893.35	,4959.89	,4883.46	,4952.29	,4982.03	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
