数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,53759.5	,51404.5	,48594.5	,47059.4	,41603.9	,40241.2	,37769.1	,34378.3	,30963.9	,
第一产业增加值 (亿元) 	,	,98.7	,100.7	,100.0	,96.0	,107.7	,107.1	,104.8	,110.8	,114.3	,
第二产业增加值 (亿元) 	,	,11562.7	,11542.9	,11386.4	,11425.4	,10356.7	,10317.1	,10360.8	,9525.9	,8570.2	,
第三产业增加值 (亿元) 	,	,42098.1	,39760.9	,37108.1	,35538.0	,31139.5	,29817.1	,27303.5	,24741.6	,22279.3	,
农林牧渔业增加值 (亿元) 	,	,105.4	,107.2	,106.9	,105.8	,116.7	,113.3	,112.4	,115.1	,118.3	,
工业增加值 (亿元) 	,	,10903.9	,10853.5	,10772.7	,10767.0	,9740.2	,9683.4	,9763.5	,8977.4	,8045.5	,
建筑业增加值 (亿元) 	,	,845.3	,833.6	,741.1	,770.4	,714.1	,725.3	,685.7	,634.4	,595.6	,
批发和零售业增加值 (亿元) 	,	,6459.7	,6662.8	,6282.9	,6465.1	,5540.5	,5295.9	,4884.8	,4562.9	,4218.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1992.8	,1721.9	,1701.5	,1776.0	,1387.6	,1548.2	,1623.1	,1387.3	,1259.6	,
住宿和餐饮业增加值 (亿元) 	,	,521.8	,526.7	,388.2	,478.1	,388.1	,483.6	,451.6	,430.3	,400.1	,
金融业增加值 (亿元) 	,	,7933.5	,7532.0	,7841.8	,7624.6	,6973.4	,6393.1	,5901.9	,5334.5	,4698.0	,
房地产业增加值 (亿元) 	,	,5686.4	,5733.6	,5479.3	,5464.3	,5097.6	,5039.9	,4881.2	,4270.0	,4127.9	,
其他行业增加值 (亿元) 	,	,19310.8	,17433.1	,15280.1	,13608.1	,11645.7	,10958.4	,9464.9	,8666.5	,7500.2	,
人均地区生产总值 (元/人) 	,228434	,216467	,207193	,195788	,189107	,167454	,162394	,152880	,139381	,125742	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
