数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,31423.4	,30595.8	,29301.1	,27895.3	,25214.5	,23902.1	,21427.5	,18864.6	,16773.6	,
第一产业增加值 (亿元) 	,	,4193.3	,4191.4	,4001.9	,3832.3	,3611.8	,3037.7	,2498.7	,2338.4	,2225.5	,
第二产业增加值 (亿元) 	,	,10243.6	,10021.4	,9985.8	,9535.2	,8427.8	,8152.1	,7267.5	,6317.8	,5747.4	,
第三产业增加值 (亿元) 	,	,16986.4	,16383.0	,15313.4	,14527.8	,13175.0	,12712.3	,11661.3	,10208.5	,8800.7	,
农林牧渔业增加值 (亿元) 	,	,4284.2	,4274.1	,4079.9	,3904.4	,3674.5	,3096.2	,2552.6	,2388.6	,2272.6	,
工业增加值 (亿元) 	,	,7364.5	,7163.8	,6934.3	,6593.6	,5630.1	,5462.8	,4911.7	,4347.8	,4087.5	,
建筑业增加值 (亿元) 	,	,2893.9	,2872.5	,3060.0	,2949.4	,2803.3	,2694.3	,2360.0	,1973.7	,1663.4	,
批发和零售业增加值 (亿元) 	,	,3678.5	,3376.2	,3107.6	,2879.6	,2494.9	,2397.1	,2187.3	,1941.1	,1732.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1385.0	,1319.0	,1149.7	,1104.2	,967.0	,1055.8	,1049.4	,894.7	,745.3	,
住宿和餐饮业增加值 (亿元) 	,	,896.7	,824.9	,696.1	,620.2	,505.7	,589.7	,539.2	,486.4	,435.4	,
金融业增加值 (亿元) 	,	,1524.2	,1460.9	,1497.1	,1468.2	,1418.5	,1370.8	,1312.6	,1245.7	,1121.3	,
房地产业增加值 (亿元) 	,	,1729.9	,1855.4	,1955.3	,1981.4	,1929.5	,1810.9	,1696.6	,1272.8	,1132.8	,
其他行业增加值 (亿元) 	,	,7666.5	,7449.0	,6821.1	,6394.3	,5791.1	,5424.5	,4818.0	,4313.9	,3582.9	,
人均地区生产总值 (元/人) 	,70472	,67374	,65334	,62456	,59276	,53443	,50764	,45610	,40266	,35918	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
