数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,26337.0	,25020.5	,23795.7	,21584.8	,17623.4	,17479.4	,16252.9	,15009.9	,13879.0	,
第一产业增加值 (亿元) 	,	,2876.9	,2644.2	,2655.1	,2354.6	,2028.8	,1863.3	,1750.7	,1649.8	,1650.6	,
第二产业增加值 (亿元) 	,	,11549.3	,11130.4	,10916.8	,9646.5	,6789.7	,6774.0	,6335.4	,5874.2	,5579.8	,
第三产业增加值 (亿元) 	,	,11910.8	,11245.8	,10223.9	,9583.6	,8804.9	,8842.2	,8166.8	,7485.9	,6648.7	,
农林牧渔业增加值 (亿元) 	,	,2950.3	,2712.1	,2711.5	,2388.6	,2060.0	,1893.5	,1779.8	,1677.7	,1677.0	,
工业增加值 (亿元) 	,	,9952.9	,9658.4	,9558.8	,8360.0	,5567.1	,5486.7	,5104.2	,4671.9	,4357.1	,
建筑业增加值 (亿元) 	,	,1630.3	,1505.0	,1394.6	,1318.5	,1244.0	,1287.3	,1231.2	,1202.3	,1222.7	,
批发和零售业增加值 (亿元) 	,	,2127.4	,1941.6	,1796.8	,1691.9	,1454.7	,1496.3	,1370.2	,1303.0	,1220.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1619.1	,1538.3	,1358.3	,1291.6	,1157.8	,1209.7	,1138.2	,1081.8	,983.4	,
住宿和餐饮业增加值 (亿元) 	,	,402.3	,376.7	,305.4	,345.4	,296.8	,365.1	,330.2	,318.7	,302.6	,
金融业增加值 (亿元) 	,	,959.1	,909.7	,881.3	,845.0	,800.9	,847.0	,847.0	,809.4	,730.1	,
房地产业增加值 (亿元) 	,	,988.0	,1046.9	,999.9	,967.4	,955.9	,930.8	,844.3	,766.4	,734.5	,
其他行业增加值 (亿元) 	,	,5707.4	,5331.7	,4789.1	,4376.3	,4086.1	,3963.1	,3607.8	,3178.7	,2651.1	,
人均地区生产总值 (元/人) 	,112181	,110104	,104317	,99128	,89880	,73156	,72274	,66953	,61655	,56928	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
