数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,49670.2	,47353.7	,45222.4	,44350.7	,38503.6	,37767.0	,35161.4	,31325.9	,28438.7	,
第一产业增加值 (亿元) 	,	,112.2	,115.1	,111.5	,111.4	,108.3	,114.4	,120.6	,121.9	,129.8	,
第二产业增加值 (亿元) 	,	,7147.8	,6893.8	,6960.4	,7732.2	,5899.8	,5812.9	,5477.4	,5049.4	,4665.8	,
第三产业增加值 (亿元) 	,	,42410.2	,40344.8	,38150.6	,36507.1	,32495.5	,31839.7	,29563.5	,26154.6	,23643.2	,
农林牧渔业增加值 (亿元) 	,	,114.0	,116.5	,113.1	,113.4	,110.7	,116.9	,122.6	,124.3	,132.2	,
工业增加值 (亿元) 	,	,5927.2	,5647.8	,5655.1	,6356.3	,4519.0	,4402.8	,4139.9	,3885.9	,3635.5	,
建筑业增加值 (亿元) 	,	,1332.0	,1341.3	,1390.7	,1467.6	,1455.4	,1460.3	,1387.8	,1210.9	,1074.5	,
批发和零售业增加值 (亿元) 	,	,3138.9	,3128.8	,3139.7	,3153.1	,2857.5	,2876.0	,2824.1	,2703.7	,2544.3	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1223.6	,1122.4	,945.7	,953.2	,875.4	,1024.7	,1019.5	,904.1	,793.4	,
住宿和餐饮业增加值 (亿元) 	,	,443.5	,451.0	,374.2	,434.7	,364.6	,542.8	,515.3	,470.4	,447.0	,
金融业增加值 (亿元) 	,	,7949.6	,7593.7	,7539.7	,7310.9	,6804.1	,6373.1	,5951.3	,5299.6	,4784.7	,
房地产业增加值 (亿元) 	,	,5026.1	,4895.6	,5035.3	,4920.6	,4461.0	,4591.5	,4395.7	,3738.5	,3531.6	,
其他行业增加值 (亿元) 	,	,24515.4	,23056.6	,21029.0	,19640.9	,17056.0	,16379.0	,14805.3	,12988.6	,11495.6	,
人均地区生产总值 (元/人) 	,238705	,227376	,216722	,206826	,202607	,175856	,172373	,160335	,142715	,129739	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
