数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,14305.0	,13942.7	,13121.4	,13431.1	,12499.5	,11949.4	,11437.4	,11083.0	,10603.5	,
第一产业增加值 (亿元) 	,	,1590.7	,1644.9	,1689.1	,1554.0	,1553.0	,1287.3	,1160.7	,1095.4	,1130.1	,
第二产业增加值 (亿元) 	,	,4521.1	,4426.9	,4274.9	,4713.7	,4337.3	,4162.0	,4051.5	,3995.5	,3901.4	,
第三产业增加值 (亿元) 	,	,8193.2	,7871.0	,7157.4	,7163.4	,6609.1	,6500.1	,6225.1	,5992.1	,5572.1	,
农林牧渔业增加值 (亿元) 	,	,1651.3	,1702.1	,1742.3	,1604.9	,1600.6	,1333.4	,1205.0	,1137.7	,1171.1	,
工业增加值 (亿元) 	,	,3748.4	,3652.0	,3503.9	,3830.3	,3540.0	,3375.2	,3287.2	,3235.2	,3148.2	,
建筑业增加值 (亿元) 	,	,814.0	,813.5	,814.2	,918.9	,817.4	,809.3	,785.6	,781.1	,773.5	,
批发和零售业增加值 (亿元) 	,	,947.3	,927.3	,824.4	,846.9	,750.6	,765.2	,732.9	,717.8	,704.9	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,937.9	,898.6	,745.5	,772.2	,655.0	,607.1	,584.9	,568.4	,541.9	,
住宿和餐饮业增加值 (亿元) 	,	,255.9	,236.6	,195.2	,221.0	,175.6	,202.3	,188.1	,181.1	,178.1	,
金融业增加值 (亿元) 	,	,834.7	,817.1	,816.2	,814.2	,762.9	,781.3	,780.8	,774.6	,732.2	,
房地产业增加值 (亿元) 	,	,890.1	,922.3	,843.2	,875.0	,892.0	,875.8	,839.4	,801.0	,783.7	,
其他行业增加值 (亿元) 	,	,4225.5	,3973.1	,3636.3	,3547.8	,3305.3	,3199.7	,3033.7	,2886.1	,2569.9	,
人均地区生产总值 (元/人) 	,64906	,61448	,59495	,55564	,56268	,51576	,48456	,45658	,43522	,40940	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
