数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,64537.9	,61353.4	,57609.4	,55131.3	,49445.1	,47168.6	,43539.0	,38517.1	,33879.2	,
第一产业增加值 (亿元) 	,	,5733.5	,5455.6	,5965.5	,5662.8	,5556.9	,4807.5	,4427.4	,4262.5	,3900.6	,
第二产业增加值 (亿元) 	,	,22599.4	,21879.1	,20314.0	,20016.5	,17594.8	,17202.7	,16056.9	,14569.2	,13450.1	,
第三产业增加值 (亿元) 	,	,36204.9	,34018.7	,31330.0	,29452.0	,26293.4	,25158.5	,23054.7	,19685.4	,16528.5	,
农林牧渔业增加值 (亿元) 	,	,5927.3	,5630.5	,6137.4	,5820.9	,5701.2	,4938.0	,4544.3	,4365.3	,3991.9	,
工业增加值 (亿元) 	,	,17761.9	,17147.6	,16135.3	,15750.7	,13579.4	,13278.1	,12360.1	,11437.8	,10790.9	,
建筑业增加值 (亿元) 	,	,5023.5	,4907.6	,4300.5	,4416.2	,4141.9	,4045.1	,3809.8	,3235.9	,2757.8	,
批发和零售业增加值 (亿元) 	,	,6455.3	,5975.3	,5459.3	,5078.5	,4388.7	,4286.2	,3835.5	,3432.3	,2760.3	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,2605.6	,2558.1	,2062.7	,1804.4	,1513.5	,1552.2	,1411.7	,1214.2	,1126.3	,
住宿和餐饮业增加值 (亿元) 	,	,1532.7	,1382.0	,1196.6	,1231.6	,996.4	,1168.7	,1043.2	,934.0	,852.9	,
金融业增加值 (亿元) 	,	,3924.5	,3784.4	,3717.7	,3517.6	,3302.7	,3087.0	,2922.4	,2720.8	,2312.7	,
房地产业增加值 (亿元) 	,	,3646.4	,3940.4	,4037.0	,3945.3	,3781.8	,3744.5	,3561.3	,3064.6	,2503.6	,
其他行业增加值 (亿元) 	,	,17660.6	,16027.4	,14562.9	,13566.0	,12039.6	,11068.8	,10050.7	,8112.2	,6782.9	,
人均地区生产总值 (元/人) 	,81124	,77143	,73293	,68804	,65856	,59138	,56584	,52425	,46574	,41198	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
