数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,17931.3	,17211.8	,16588.5	,16093.2	,14230.8	,14097.2	,13411.1	,12468.2	,11487.0	,
第一产业增加值 (亿元) 	,	,284.5	,270.5	,273.2	,265.9	,210.3	,185.4	,175.3	,169.0	,168.5	,
第二产业增加值 (亿元) 	,	,6213.1	,6080.6	,6092.7	,5780.5	,4966.6	,5016.9	,4835.3	,4564.1	,4368.0	,
第三产业增加值 (亿元) 	,	,11433.7	,10860.8	,10222.7	,10046.8	,9053.8	,8894.9	,8400.5	,7735.2	,6950.6	,
农林牧渔业增加值 (亿元) 	,	,296.9	,281.7	,283.8	,276.0	,218.3	,191.8	,181.0	,174.0	,174.6	,
工业增加值 (亿元) 	,	,5736.1	,5618.7	,5555.3	,5235.6	,4395.9	,4456.8	,4276.9	,3942.5	,3773.0	,
建筑业增加值 (亿元) 	,	,612.2	,589.1	,608.8	,653.0	,656.5	,673.6	,674.1	,704.0	,710.8	,
批发和零售业增加值 (亿元) 	,	,1451.9	,1467.4	,1420.2	,1447.2	,1317.5	,1365.6	,1345.2	,1313.6	,1199.1	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,944.1	,907.7	,883.0	,828.7	,745.7	,758.5	,753.5	,734.2	,693.1	,
住宿和餐饮业增加值 (亿元) 	,	,206.3	,194.0	,151.4	,161.1	,137.7	,178.0	,157.9	,147.2	,123.0	,
金融业增加值 (亿元) 	,	,2492.5	,2393.3	,2347.5	,2283.3	,2150.6	,1939.9	,1838.4	,1731.8	,1558.6	,
房地产业增加值 (亿元) 	,	,1057.3	,1081.9	,1029.3	,1095.9	,1010.6	,1113.9	,1143.4	,1139.7	,1084.3	,
其他行业增加值 (亿元) 	,	,5134.0	,4677.9	,4309.4	,4112.3	,3597.9	,3419.1	,3040.7	,2581.4	,2170.5	,
人均地区生产总值 (元/人) 	,135972	,131461	,126232	,121261	,116618	,102675	,101858	,96034	,87404	,79716	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
