数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,5520.2	,5368.8	,5168.1	,4666.5	,4036.2	,3841.5	,3580.6	,3271.6	,2853.3	,
第一产业增加值 (亿元) 	,	,451.2	,428.0	,407.5	,364.6	,338.1	,280.0	,279.4	,250.6	,241.0	,
第二产业增加值 (亿元) 	,	,2355.4	,2329.0	,2318.6	,2036.6	,1604.8	,1588.0	,1488.1	,1406.0	,1179.7	,
第三产业增加值 (亿元) 	,	,2713.5	,2611.7	,2441.9	,2265.3	,2093.3	,1973.6	,1813.1	,1615.0	,1432.6	,
农林牧渔业增加值 (亿元) 	,	,476.0	,451.1	,428.6	,383.9	,356.3	,297.7	,296.1	,266.3	,255.7	,
工业增加值 (亿元) 	,	,2042.4	,2022.1	,1998.4	,1720.7	,1293.9	,1275.2	,1191.0	,1129.2	,925.4	,
建筑业增加值 (亿元) 	,	,316.7	,310.5	,323.0	,318.5	,312.7	,314.4	,298.5	,278.1	,255.4	,
批发和零售业增加值 (亿元) 	,	,337.5	,312.8	,283.7	,252.9	,218.3	,215.2	,190.2	,173.5	,154.0	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,228.0	,219.9	,198.7	,188.5	,171.7	,172.5	,171.3	,184.1	,188.7	,
住宿和餐饮业增加值 (亿元) 	,	,78.2	,72.9	,61.8	,60.2	,52.1	,55.9	,49.4	,45.6	,43.0	,
金融业增加值 (亿元) 	,	,373.2	,366.1	,337.7	,320.2	,306.0	,293.2	,285.9	,266.0	,239.8	,
房地产业增加值 (亿元) 	,	,257.4	,286.2	,270.0	,251.3	,237.0	,217.4	,187.2	,178.6	,161.0	,
其他行业增加值 (亿元) 	,	,1410.9	,1327.2	,1266.1	,1170.2	,1088.2	,1000.0	,911.1	,750.1	,630.3	,
人均地区生产总值 (元/人) 	,77981	,75723	,73696	,71137	,64543	,56136	,53841	,50610	,46737	,41382	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
