数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,50646.7	,48227.5	,45525.1	,43102.8	,38628.8	,37584.8	,34377.3	,30141.8	,26801.2	,
第一产业增加值 (亿元) 	,	,3564.6	,3494.8	,3516.5	,3363.9	,3184.9	,2915.9	,2638.0	,2582.3	,2489.8	,
第二产业增加值 (亿元) 	,	,19541.5	,18734.9	,17697.0	,16925.5	,15286.7	,14895.9	,14094.4	,12681.2	,11517.5	,
第三产业增加值 (亿元) 	,	,27540.6	,25997.8	,24311.6	,22813.5	,20157.2	,19773.0	,17644.9	,14878.3	,12793.9	,
农林牧渔业增加值 (亿元) 	,	,3826.9	,3731.2	,3729.9	,3548.7	,3353.7	,3069.2	,2776.0	,2707.3	,2603.7	,
工业增加值 (亿元) 	,	,14105.1	,13493.1	,12885.0	,12335.4	,11094.0	,11060.4	,10639.8	,9739.9	,8909.4	,
建筑业增加值 (亿元) 	,	,5481.3	,5278.5	,4848.0	,4626.4	,4220.0	,3860.0	,3476.8	,2961.7	,2626.7	,
批发和零售业增加值 (亿元) 	,	,5410.6	,4888.4	,4392.1	,4118.9	,3635.0	,3410.6	,3184.0	,2924.0	,2656.3	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,2895.0	,2848.0	,2534.3	,2319.5	,2097.0	,2106.0	,1883.0	,1605.4	,1475.0	,
住宿和餐饮业增加值 (亿元) 	,	,1199.7	,1088.0	,910.6	,872.6	,705.0	,755.0	,688.2	,614.7	,552.8	,
金融业增加值 (亿元) 	,	,3013.5	,2867.4	,2781.0	,2659.0	,2480.0	,2367.0	,2142.5	,1683.2	,1446.1	,
房地产业增加值 (亿元) 	,	,2752.0	,2927.6	,3119.7	,3290.4	,3170.0	,3165.0	,2968.3	,2297.0	,1942.6	,
其他行业增加值 (亿元) 	,	,11962.6	,11105.3	,10324.6	,9332.0	,7874.1	,7791.6	,6618.6	,5608.6	,4588.4	,
人均地区生产总值 (元/人) 	,86832	,82729	,78752	,74387	,70556	,63341	,61776	,56667	,49862	,44505	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
