数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,98406.9	,94206.4	,89519.4	,84838.0	,74355.9	,72024.3	,67864.4	,63958.6	,59702.6	,
第一产业增加值 (亿元) 	,	,6612.1	,6500.6	,6296.2	,6026.9	,5364.4	,5116.9	,4950.5	,4832.7	,4830.2	,
第二产业增加值 (亿元) 	,	,39347.9	,38055.9	,36037.2	,34084.0	,29008.0	,28464.9	,27523.7	,26925.6	,25565.0	,
第三产业增加值 (亿元) 	,	,52446.9	,49649.9	,47186.0	,44727.1	,39983.5	,38442.5	,35390.2	,32200.3	,29307.3	,
农林牧渔业增加值 (亿元) 	,	,7211.4	,7034.3	,6775.4	,6452.5	,5750.1	,5477.1	,5273.9	,5114.7	,5072.3	,
工业增加值 (亿元) 	,	,31663.4	,30586.7	,29170.1	,27637.5	,23268.5	,22924.8	,22613.0	,22515.8	,21696.0	,
建筑业增加值 (亿元) 	,	,7885.4	,7658.1	,7019.1	,6595.3	,5854.7	,5661.0	,5024.9	,4441.0	,3909.4	,
批发和零售业增加值 (亿元) 	,	,14247.1	,13022.1	,12184.6	,11608.5	,9860.4	,9588.1	,8747.1	,8057.0	,7842.4	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,4417.8	,4256.0	,4175.1	,3981.7	,3303.0	,3540.1	,3408.5	,3244.4	,2683.8	,
住宿和餐饮业增加值 (亿元) 	,	,1742.7	,1518.4	,1294.4	,1292.1	,1077.1	,1178.7	,1040.7	,983.7	,868.2	,
金融业增加值 (亿元) 	,	,4871.1	,4667.3	,4733.6	,4492.3	,4300.7	,4057.9	,3871.2	,3570.6	,3265.2	,
房地产业增加值 (亿元) 	,	,5042.5	,5456.1	,5297.0	,5366.1	,5087.9	,5092.3	,4906.9	,4174.4	,3796.0	,
其他行业增加值 (亿元) 	,	,21325.5	,20007.4	,18870.1	,17411.9	,15853.5	,14504.3	,12978.2	,11856.9	,10569.3	,
人均地区生产总值 (元/人) 	,102567	,97418	,92878	,88053	,83440	,73362	,71371	,67493	,63939	,60187	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
