数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,25353.5	,26050.8	,25653.2	,23087.8	,18202.7	,17311.0	,16153.1	,14679.1	,12160.1	,
第一产业增加值 (亿元) 	,	,1392.4	,1365.2	,1335.3	,1286.7	,1166.6	,825.3	,740.8	,719.2	,724.3	,
第二产业增加值 (亿元) 	,	,10847.7	,11940.1	,12667.1	,10892.5	,7440.2	,7402.9	,7074.5	,6635.3	,5113.6	,
第三产业增加值 (亿元) 	,	,13113.3	,12745.5	,11650.9	,10908.6	,9595.9	,9082.7	,8337.9	,7324.6	,6322.2	,
农林牧渔业增加值 (亿元) 	,	,1480.0	,1447.0	,1411.7	,1357.5	,1232.0	,875.5	,788.4	,764.1	,766.8	,
工业增加值 (亿元) 	,	,9732.3	,10800.0	,11500.9	,9790.4	,6458.8	,6481.9	,6260.2	,5887.3	,4441.2	,
建筑业增加值 (亿元) 	,	,1166.8	,1190.6	,1210.4	,1139.1	,1005.3	,934.6	,819.9	,752.9	,676.6	,
批发和零售业增加值 (亿元) 	,	,1798.8	,1807.0	,1774.6	,1668.7	,1380.2	,1377.2	,1328.3	,1148.5	,1108.1	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1432.8	,1470.4	,1297.6	,1284.2	,1093.1	,1047.9	,990.7	,859.1	,750.5	,
住宿和餐饮业增加值 (亿元) 	,	,360.4	,335.4	,271.1	,263.0	,202.2	,220.9	,193.5	,176.8	,165.8	,
金融业增加值 (亿元) 	,	,1478.7	,1391.1	,1360.5	,1291.2	,1192.2	,1133.4	,1081.1	,965.1	,909.3	,
房地产业增加值 (亿元) 	,	,1239.2	,1337.3	,1209.3	,1255.3	,1211.1	,1173.0	,1126.5	,1064.8	,852.8	,
其他行业增加值 (亿元) 	,	,6664.4	,6271.9	,5617.1	,5038.4	,4427.9	,4066.6	,3564.6	,3060.7	,2488.9	,
人均地区生产总值 (元/人) 	,74223	,73361	,74999	,73705	,66249	,52105	,49467	,46073	,41791	,34580	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
