数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,141488.9	,137905.4	,132547.1	,127577.4	,113708.9	,110468.1	,101875.9	,93004.8	,83493.4	,
第一产业增加值 (亿元) 	,	,5852.7	,5555.2	,5350.0	,4985.1	,4732.7	,4350.6	,3836.4	,3611.4	,3500.5	,
第二产业增加值 (亿元) 	,	,54367.1	,52679.5	,51341.4	,49977.2	,43756.4	,43528.6	,41398.5	,38536.6	,35499.2	,
第三产业增加值 (亿元) 	,	,81269.1	,79670.7	,75855.7	,72615.1	,65219.7	,62588.8	,56641.1	,50856.7	,44493.7	,
农林牧渔业增加值 (亿元) 	,	,6101.5	,5769.2	,5541.7	,5153.7	,4880.8	,4478.3	,3948.9	,3712.7	,3593.6	,
工业增加值 (亿元) 	,	,47682.6	,46177.6	,45547.5	,44513.3	,39004.8	,39222.0	,37651.1	,35344.0	,32677.9	,
建筑业增加值 (亿元) 	,	,6879.6	,6675.6	,5956.4	,5602.2	,4864.1	,4415.0	,3849.8	,3289.3	,2909.5	,
批发和零售业增加值 (亿元) 	,	,13157.3	,13328.2	,12571.5	,12151.0	,10766.5	,11005.3	,10476.0	,9642.1	,8924.7	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,5028.0	,4904.2	,4410.5	,4079.0	,3361.4	,3614.2	,3386.3	,3187.7	,2896.1	,
住宿和餐饮业增加值 (亿元) 	,	,2455.0	,2292.6	,1958.6	,1979.8	,1609.6	,1930.5	,1749.4	,1654.3	,1575.9	,
金融业增加值 (亿元) 	,	,12213.2	,12018.7	,11685.7	,11115.6	,10122.8	,8751.2	,7962.3	,7311.2	,6570.0	,
房地产业增加值 (亿元) 	,	,10431.1	,11151.1	,12107.0	,12627.2	,12155.7	,11453.5	,10107.5	,9243.0	,7688.9	,
其他行业增加值 (亿元) 	,	,37540.7	,35588.4	,32768.3	,30355.6	,26943.3	,25598.0	,22744.8	,19620.5	,16656.8	,
人均地区生产总值 (元/人) 	,113769	,111033	,108745	,104611	,100820	,90558	,88954	,83201	,77346	,70799	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
