数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,28694.1	,27501.7	,26419.7	,25311.5	,22250.7	,21341.5	,19951.7	,18071.7	,16417.2	,
第一产业增加值 (亿元) 	,	,4765.2	,4466.8	,4270.4	,4051.8	,3645.9	,3389.7	,3021.1	,2878.3	,2800.3	,
第二产业增加值 (亿元) 	,	,9330.0	,8979.8	,8867.3	,8523.3	,7067.6	,6870.3	,6692.9	,6138.3	,5621.0	,
第三产业增加值 (亿元) 	,	,14599.0	,14055.1	,13282.0	,12736.5	,11537.2	,11081.5	,10237.8	,9055.1	,7996.0	,
农林牧渔业增加值 (亿元) 	,	,4923.4	,4615.3	,4407.2	,4176.0	,3757.3	,3493.9	,3116.4	,2964.7	,2877.0	,
工业增加值 (亿元) 	,	,7810.3	,7434.6	,7142.3	,6747.7	,5369.2	,5218.0	,5101.9	,4680.1	,4307.3	,
建筑业增加值 (亿元) 	,	,1537.1	,1558.5	,1740.6	,1789.9	,1711.6	,1666.8	,1606.6	,1466.0	,1315.0	,
批发和零售业增加值 (亿元) 	,	,2634.4	,2452.2	,2277.4	,2148.3	,1872.2	,1778.1	,1607.6	,1485.8	,1351.0	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1113.4	,1075.3	,1003.3	,998.5	,850.3	,880.6	,873.8	,810.7	,742.7	,
住宿和餐饮业增加值 (亿元) 	,	,462.6	,435.1	,372.5	,376.6	,319.7	,375.7	,342.7	,322.7	,301.1	,
金融业增加值 (亿元) 	,	,1527.8	,1487.4	,1492.9	,1475.0	,1438.1	,1399.4	,1366.8	,1242.1	,1110.7	,
房地产业增加值 (亿元) 	,	,1863.0	,1979.4	,1867.8	,1925.1	,1911.8	,1970.7	,1883.1	,1582.2	,1367.5	,
其他行业增加值 (亿元) 	,	,6822.0	,6463.8	,6115.5	,5674.4	,5020.3	,4558.3	,4052.9	,3517.4	,3044.9	,
人均地区生产总值 (元/人) 	,59443	,57160	,54599	,52399	,50341	,44497	,42988	,40495	,37017	,33962	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
