数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,20492.4	,19603.3	,18550.5	,16791.5	,14262.2	,14024.9	,13110.1	,11460.8	,9913.9	,
第一产业增加值 (亿元) 	,	,2571.1	,2739.6	,2653.8	,2358.7	,1981.3	,1781.7	,1692.1	,1551.8	,1473.2	,
第二产业增加值 (亿元) 	,	,8044.7	,7559.7	,7312.7	,6281.3	,4798.5	,4824.9	,4657.2	,4096.2	,3446.1	,
第三产业增加值 (亿元) 	,	,9876.6	,9304.0	,8584.0	,8151.5	,7482.4	,7418.3	,6760.9	,5812.8	,4994.6	,
农林牧渔业增加值 (亿元) 	,	,2756.5	,2906.9	,2801.8	,2489.6	,2098.2	,1888.4	,1791.0	,1640.3	,1554.0	,
工业增加值 (亿元) 	,	,6720.9	,6337.9	,6137.6	,5037.0	,3684.6	,3855.0	,3758.5	,3266.1	,2686.8	,
建筑业增加值 (亿元) 	,	,1437.7	,1342.4	,1270.4	,1332.9	,1185.4	,1056.9	,987.8	,913.2	,840.1	,
批发和零售业增加值 (亿元) 	,	,968.7	,961.3	,860.3	,841.0	,710.9	,784.7	,742.6	,704.7	,588.3	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1200.2	,1120.3	,937.1	,746.1	,613.2	,765.6	,733.5	,556.7	,463.5	,
住宿和餐饮业增加值 (亿元) 	,	,193.1	,180.2	,141.1	,165.5	,137.3	,184.1	,168.9	,159.0	,142.8	,
金融业增加值 (亿元) 	,	,1038.4	,1022.8	,1053.4	,1035.1	,1006.3	,982.1	,967.3	,858.1	,748.2	,
房地产业增加值 (亿元) 	,	,879.1	,927.8	,899.4	,870.7	,844.1	,777.0	,700.7	,676.3	,628.1	,
其他行业增加值 (亿元) 	,	,5297.9	,4803.6	,4449.3	,4273.5	,3982.2	,3731.2	,3259.8	,2686.6	,2262.0	,
人均地区生产总值 (元/人) 	,81574	,78500	,75616	,71679	,64845	,55398	,55227	,52441	,46703	,41196	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
