数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,136696.9	,130924.3	,124564.2	,119853.2	,104566.6	,99836.9	,93456.3	,86512.9	,78261.2	,
第一产业增加值 (亿元) 	,	,5240.6	,5075.9	,4963.9	,4719.1	,4537.6	,4297.2	,4141.7	,4045.2	,4039.8	,
第二产业增加值 (亿元) 	,	,58905.0	,57329.8	,55343.4	,53575.8	,45391.4	,44281.4	,42129.4	,39124.1	,35041.5	,
第三产业增加值 (亿元) 	,	,72551.3	,68518.6	,64256.9	,61558.4	,54637.6	,51258.3	,47185.2	,43343.6	,39180.0	,
农林牧渔业增加值 (亿元) 	,	,5765.3	,5541.5	,5383.0	,5076.1	,4868.5	,4611.9	,4431.4	,4314.5	,4286.1	,
工业增加值 (亿元) 	,	,49299.5	,47642.7	,46527.1	,45379.9	,38173.3	,37537.5	,36113.2	,33782.6	,30291.4	,
建筑业增加值 (亿元) 	,	,9752.9	,9806.5	,8899.0	,8264.4	,7277.9	,6794.5	,6063.7	,5386.0	,4790.0	,
批发和零售业增加值 (亿元) 	,	,15855.4	,14550.1	,13707.7	,13254.8	,11307.2	,10884.7	,10139.3	,9197.5	,8447.9	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,5147.4	,4897.7	,4364.2	,4369.1	,3702.2	,3316.4	,2987.5	,2764.0	,2553.9	,
住宿和餐饮业增加值 (亿元) 	,	,2448.4	,2148.1	,1872.8	,1812.1	,1583.1	,1584.8	,1413.4	,1302.9	,1203.2	,
金融业增加值 (亿元) 	,	,9033.1	,8565.3	,8227.6	,7953.1	,7457.9	,7084.1	,6846.9	,6215.7	,5545.2	,
房地产业增加值 (亿元) 	,	,8327.0	,8676.8	,8714.5	,9190.3	,8613.4	,7893.8	,7349.5	,7229.8	,6420.6	,
其他行业增加值 (亿元) 	,	,31067.9	,29095.5	,26868.3	,24553.4	,21583.0	,20129.3	,18111.4	,16320.0	,14723.0	,
人均地区生产总值 (元/人) 	,167040	,160330	,153658	,146374	,141153	,123411	,118045	,110802	,102961	,93748	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
