数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,34227.9	,32677.1	,31568.1	,29838.2	,25825.4	,24724.0	,23016.9	,20497.6	,18761.2	,
第一产业增加值 (亿元) 	,	,2607.8	,2436.4	,2466.4	,2334.0	,2243.8	,2057.7	,1877.3	,1835.3	,1794.1	,
第二产业增加值 (亿元) 	,	,13590.7	,13115.7	,12832.9	,12559.3	,10631.7	,10385.3	,10081.2	,9444.6	,8732.5	,
第三产业增加值 (亿元) 	,	,18029.4	,17125.0	,16268.8	,14945.0	,12949.9	,12281.0	,11058.4	,9217.8	,8234.6	,
农林牧渔业增加值 (亿元) 	,	,2764.8	,2580.3	,2596.6	,2439.1	,2328.1	,2135.8	,1947.9	,1898.5	,1851.9	,
工业增加值 (亿元) 	,	,11166.0	,10695.6	,10395.0	,10237.2	,8546.6	,8355.3	,8264.2	,7969.6	,7349.3	,
建筑业增加值 (亿元) 	,	,2438.9	,2433.2	,2456.6	,2337.5	,2095.0	,2038.1	,1823.4	,1480.0	,1387.5	,
批发和零售业增加值 (亿元) 	,	,3496.3	,3206.9	,2979.0	,2643.9	,2218.6	,2127.8	,1942.3	,1695.0	,1397.7	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1421.9	,1355.0	,1262.1	,1198.0	,1015.1	,1098.8	,1031.8	,903.6	,828.2	,
住宿和餐饮业增加值 (亿元) 	,	,751.6	,666.1	,575.8	,554.8	,422.8	,458.9	,408.4	,386.1	,373.3	,
金融业增加值 (亿元) 	,	,2091.4	,2051.0	,2041.0	,1977.7	,1756.1	,1571.3	,1422.6	,1100.1	,1012.3	,
房地产业增加值 (亿元) 	,	,1903.9	,2012.5	,2169.5	,2234.4	,2122.0	,2074.2	,1946.7	,1496.6	,1308.0	,
其他行业增加值 (亿元) 	,	,8193.0	,7676.7	,7092.5	,6215.6	,5321.0	,4863.6	,4229.5	,3568.0	,3253.1	,
人均地区生产总值 (元/人) 	,80259	,75919	,72271	,69802	,66043	,57167	,54766	,51013	,45515	,41780	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
