数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,47448.1	,45660.0	,43198.3	,41205.4	,36821.5	,35623.5	,32947.0	,31065.5	,28879.7	,
第一产业增加值 (亿元) 	,	,4519.9	,4463.0	,4408.4	,4029.3	,3880.4	,3518.4	,3338.6	,3130.0	,3082.5	,
第二产业增加值 (亿元) 	,	,17480.1	,17112.2	,16406.7	,16450.8	,13938.0	,13600.9	,12904.1	,12778.0	,12332.3	,
第三产业增加值 (亿元) 	,	,25448.1	,24084.8	,22383.3	,20725.3	,19003.1	,18504.2	,16704.3	,15157.5	,13464.9	,
农林牧渔业增加值 (亿元) 	,	,4883.5	,4788.5	,4700.8	,4288.3	,4113.2	,3727.5	,3522.3	,3298.3	,3235.1	,
工业增加值 (亿元) 	,	,14942.5	,14609.5	,14123.7	,14216.8	,11813.5	,11474.3	,10930.3	,11015.7	,10755.9	,
建筑业增加值 (亿元) 	,	,2602.7	,2557.0	,2338.7	,2287.2	,2166.9	,2164.2	,2007.9	,1796.8	,1610.1	,
批发和零售业增加值 (亿元) 	,	,4277.7	,3924.6	,3609.3	,3306.6	,2983.5	,2949.8	,2722.3	,2553.3	,2290.0	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,3566.1	,3501.2	,3197.6	,3188.0	,2831.8	,2904.6	,2625.7	,2559.9	,2427.1	,
住宿和餐饮业增加值 (亿元) 	,	,514.5	,481.2	,403.9	,416.4	,350.0	,403.7	,354.8	,330.5	,297.2	,
金融业增加值 (亿元) 	,	,3238.9	,3110.9	,2943.7	,2847.4	,2605.8	,2434.1	,2220.9	,2039.9	,1720.0	,
房地产业增加值 (亿元) 	,	,2512.7	,2682.3	,2542.3	,2596.2	,2584.7	,2528.1	,2391.9	,2308.6	,2058.1	,
其他行业增加值 (亿元) 	,	,10909.6	,10004.9	,9338.2	,8058.6	,7372.0	,7037.2	,6170.9	,5162.6	,4486.3	,
人均地区生产总值 (元/人) 	,66936	,64245	,61649	,58109	,55265	,49388	,47904	,44418	,42026	,39239	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
