数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,63557.1	,60627.7	,58807.4	,57806.9	,54160.6	,53739.3	,50273.5	,44586.5	,40167.7	,
第一产业增加值 (亿元) 	,	,5486.3	,5353.0	,5731.0	,5626.1	,5354.0	,4635.7	,4311.1	,4139.3	,4063.6	,
第二产业增加值 (亿元) 	,	,24131.3	,23097.7	,22122.5	,22571.0	,21416.6	,22185.5	,21446.8	,20035.3	,18140.6	,
第三产业增加值 (亿元) 	,	,33939.5	,32177.0	,30953.9	,29609.7	,27390.0	,26918.2	,24515.5	,20411.9	,17963.4	,
农林牧渔业增加值 (亿元) 	,	,6022.0	,5829.7	,6166.0	,5918.2	,5600.5	,4860.7	,4501.2	,4310.5	,4217.4	,
工业增加值 (亿元) 	,	,18376.5	,17609.8	,17128.2	,17353.6	,16538.5	,17278.9	,16729.1	,15836.4	,14690.6	,
建筑业增加值 (亿元) 	,	,5870.9	,5603.2	,5082.6	,5318.6	,4968.0	,4994.2	,4790.8	,4235.8	,3503.8	,
批发和零售业增加值 (亿元) 	,	,5440.4	,5100.7	,4789.1	,4666.3	,4242.4	,4094.0	,3697.9	,3227.4	,2940.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,3372.9	,3110.5	,3034.6	,2818.9	,2540.3	,2858.5	,2861.1	,2433.7	,2230.4	,
住宿和餐饮业增加值 (亿元) 	,	,1286.5	,1224.5	,1130.8	,1193.7	,1079.9	,1185.9	,1037.9	,979.3	,843.9	,
金融业增加值 (亿元) 	,	,3120.9	,3099.3	,3102.1	,3053.2	,2902.0	,2750.2	,2529.2	,2130.5	,1850.4	,
房地产业增加值 (亿元) 	,	,4046.4	,4291.3	,4109.1	,4277.8	,4121.5	,4101.7	,3848.3	,3237.8	,2912.8	,
其他行业增加值 (亿元) 	,	,16020.5	,14758.7	,14264.9	,13206.5	,12167.5	,11615.2	,10277.9	,8195.1	,6978.0	,
人均地区生产总值 (元/人) 	,68240	,64854	,61592	,59537	,58320	,54592	,54378	,51057	,45480	,41242	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
