数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,90007.0	,85619.6	,80770.0	,76765.3	,67164.5	,64632.0	,59311.7	,53135.2	,48095.8	,
第一产业增加值 (亿元) 	,	,2584.0	,2463.0	,2185.2	,2211.9	,2166.3	,2086.7	,1975.9	,1933.9	,1890.4	,
第二产业增加值 (亿元) 	,	,34732.4	,33586.1	,32873.3	,31370.7	,26638.2	,26643.3	,25308.1	,23246.7	,21571.2	,
第三产业增加值 (亿元) 	,	,52690.6	,49570.6	,45711.5	,43182.7	,38360.0	,35902.0	,32027.7	,27954.6	,24634.1	,
农林牧渔业增加值 (亿元) 	,	,2669.7	,2541.4	,2253.8	,2278.1	,2221.4	,2135.9	,2019.3	,1972.8	,1925.5	,
工业增加值 (亿元) 	,	,30077.9	,28844.1	,28326.2	,26972.1	,22754.4	,22736.6	,21621.2	,20038.7	,18661.5	,
建筑业增加值 (亿元) 	,	,4802.8	,4851.2	,4639.9	,4471.7	,3944.8	,3963.2	,3737.6	,3262.3	,2959.4	,
批发和零售业增加值 (亿元) 	,	,11794.3	,10712.4	,9863.1	,8951.1	,7720.8	,7419.7	,6853.0	,6323.6	,5828.6	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,2870.9	,2684.4	,2356.9	,2358.2	,1916.2	,1968.2	,1868.2	,1756.7	,1618.8	,
住宿和餐饮业增加值 (亿元) 	,	,1747.5	,1618.5	,1369.4	,1237.0	,1010.2	,1104.6	,991.9	,941.3	,889.4	,
金融业增加值 (亿元) 	,	,7672.5	,7123.5	,6729.4	,6167.1	,5580.9	,4909.7	,4506.3	,3770.6	,3229.7	,
房地产业增加值 (亿元) 	,	,6601.0	,6892.6	,6574.9	,6840.5	,6567.6	,6022.3	,5241.2	,4080.8	,3482.7	,
其他行业增加值 (亿元) 	,	,21770.5	,20351.5	,18656.4	,17489.5	,15448.2	,14371.8	,12473.0	,10988.4	,9500.3	,
人均地区生产总值 (元/人) 	,141418	,135379	,129687	,123153	,118028	,104593	,102201	,95333	,86808	,79781	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
