数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,7972.7	,7590.2	,6912.8	,6508.9	,5640.8	,5442.1	,5004.2	,4552.9	,4151.0	,
第一产业增加值 (亿元) 	,	,1626.1	,1506.9	,1417.8	,1254.5	,1136.0	,1079.0	,986.0	,962.8	,924.7	,
第二产业增加值 (亿元) 	,	,1500.4	,1403.4	,1281.4	,1233.1	,1074.6	,1095.6	,1053.1	,996.4	,904.0	,
第三产业增加值 (亿元) 	,	,4846.2	,4679.9	,4213.6	,4021.2	,3430.2	,3267.6	,2965.1	,2593.7	,2322.3	,
农林牧渔业增加值 (亿元) 	,	,1698.4	,1569.5	,1472.4	,1301.3	,1178.4	,1118.0	,1020.2	,993.3	,951.6	,
工业增加值 (亿元) 	,	,925.1	,880.0	,769.1	,708.9	,571.8	,609.0	,582.0	,528.3	,482.5	,
建筑业增加值 (亿元) 	,	,587.5	,530.4	,519.6	,530.9	,507.4	,491.1	,475.2	,470.0	,422.5	,
批发和零售业增加值 (亿元) 	,	,886.8	,860.7	,831.7	,820.0	,591.0	,509.8	,464.2	,466.7	,442.8	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,338.7	,290.7	,257.2	,258.8	,218.1	,240.5	,225.4	,214.9	,189.7	,
住宿和餐饮业增加值 (亿元) 	,	,191.7	,201.0	,176.1	,219.4	,195.2	,252.1	,252.4	,221.4	,202.0	,
金融业增加值 (亿元) 	,	,521.1	,498.2	,482.5	,445.5	,409.4	,389.9	,380.1	,328.9	,296.9	,
房地产业增加值 (亿元) 	,	,858.3	,876.5	,675.0	,694.7	,620.8	,613.7	,549.5	,481.7	,403.9	,
其他行业增加值 (亿元) 	,	,1965.1	,1883.4	,1729.1	,1529.5	,1348.7	,1218.1	,1055.1	,847.7	,759.1	,
人均地区生产总值 (元/人) 	,77117	,76257	,73335	,67541	,64063	,56211	,55054	,51220	,47205	,43648	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
