数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,59644.3	,56794.3	,53445.4	,50093.3	,43017.6	,45557.0	,42425.5	,37624.2	,33767.6	,
第一产业增加值 (亿元) 	,	,5459.5	,5068.2	,4981.9	,4634.0	,4133.2	,3809.4	,3548.2	,3529.0	,3406.5	,
第二产业增加值 (亿元) 	,	,21267.8	,20750.3	,19948.5	,19241.3	,16359.6	,18397.1	,17573.9	,15713.9	,14527.0	,
第三产业增加值 (亿元) 	,	,32917.1	,30975.8	,28515.0	,26218.0	,22524.7	,23350.6	,21303.4	,18381.4	,15834.1	,
农林牧渔业增加值 (亿元) 	,	,5900.2	,5452.1	,5325.9	,4925.7	,4359.0	,4014.3	,3734.3	,3690.3	,3527.9	,
工业增加值 (亿元) 	,	,17328.0	,16937.5	,16416.4	,15954.5	,13551.5	,15376.0	,14849.6	,13431.6	,12480.5	,
建筑业增加值 (亿元) 	,	,4048.5	,3909.4	,3624.9	,3375.4	,2868.7	,3084.3	,2781.4	,2342.5	,2109.2	,
批发和零售业增加值 (亿元) 	,	,5273.9	,4797.5	,4220.9	,3828.9	,3151.9	,3467.2	,3098.0	,2819.3	,2569.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,3065.8	,2847.1	,2404.2	,2257.5	,1748.3	,2245.5	,2046.4	,1891.1	,1665.8	,
住宿和餐饮业增加值 (亿元) 	,	,1679.1	,1496.8	,1287.1	,1221.9	,904.1	,1256.7	,1125.9	,1022.2	,913.6	,
金融业增加值 (亿元) 	,	,2763.9	,2679.6	,2818.0	,2922.7	,2864.4	,2631.5	,2554.0	,2255.2	,1975.1	,
房地产业增加值 (亿元) 	,	,3662.4	,3764.9	,3899.4	,3821.5	,3278.6	,3766.3	,3618.6	,3089.6	,2563.7	,
其他行业增加值 (亿元) 	,	,15922.5	,14909.3	,13448.6	,11785.3	,10291.2	,9715.1	,8617.3	,7082.4	,5962.2	,
人均地区生产总值 (元/人) 	,107619	,102201	,97234	,91563	,86554	,73711	,76928	,71780	,63829	,57550	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
