数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,53084.7	,50667.5	,47957.9	,45751.9	,41693.7	,39930.7	,36629.3	,34127.7	,31225.0	,
第一产业增加值 (亿元) 	,	,4898.6	,4617.4	,4601.2	,4322.3	,4240.7	,3647.2	,3084.2	,2998.4	,2915.6	,
第二产业增加值 (亿元) 	,	,19308.9	,18639.2	,17519.8	,17325.9	,15577.3	,14974.8	,13904.1	,13459.8	,12942.0	,
第三产业增加值 (亿元) 	,	,28877.2	,27410.8	,25836.8	,24103.7	,21875.6	,21308.8	,19641.0	,17669.5	,15367.4	,
农林牧渔业增加值 (亿元) 	,	,5240.1	,4924.1	,4876.9	,4563.7	,4462.0	,3850.5	,3266.5	,3165.3	,3063.1	,
工业增加值 (亿元) 	,	,15427.2	,14773.2	,13717.5	,13602.6	,12127.4	,11601.7	,10785.6	,10709.8	,10540.1	,
建筑业增加值 (亿元) 	,	,3913.7	,3895.3	,3817.1	,3737.5	,3463.1	,3384.7	,3128.3	,2760.2	,2411.7	,
批发和零售业增加值 (亿元) 	,	,5879.0	,5438.5	,5067.1	,4720.6	,4154.2	,4043.9	,3705.4	,3423.2	,3141.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,2511.8	,2394.8	,2070.5	,1893.8	,1626.5	,1648.3	,1529.2	,1452.7	,1320.3	,
住宿和餐饮业增加值 (亿元) 	,	,1290.4	,1159.9	,1014.6	,970.6	,820.5	,931.9	,835.6	,774.3	,726.7	,
金融业增加值 (亿元) 	,	,2553.4	,2473.6	,2406.0	,2255.4	,2096.2	,1928.5	,1809.8	,1701.8	,1340.1	,
房地产业增加值 (亿元) 	,	,2869.5	,2953.0	,3031.5	,2957.6	,2960.8	,2940.4	,2764.7	,2371.6	,2065.1	,
其他行业增加值 (亿元) 	,	,13399.6	,12655.2	,11956.7	,11050.0	,9983.1	,9600.9	,8804.0	,7768.8	,6616.5	,
人均地区生产总值 (元/人) 	,84888	,81002	,76932	,72521	,68971	,62768	,60159	,55215	,51482	,47168	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
