数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,13020.5	,12345.7	,11553.6	,10608.0	,9323.1	,9053.3	,8364.7	,7642.6	,7207.1	,
第一产业增加值 (亿元) 	,	,1629.1	,1636.6	,1499.7	,1364.8	,1188.1	,1059.3	,926.1	,859.7	,800.7	,
第二产业增加值 (亿元) 	,	,4405.2	,4148.6	,3981.5	,3531.6	,2891.9	,2914.2	,2761.6	,2515.7	,2483.5	,
第三产业增加值 (亿元) 	,	,6986.1	,6560.4	,6072.4	,5711.6	,5243.1	,5079.8	,4677.0	,4267.1	,3922.9	,
农林牧渔业增加值 (亿元) 	,	,1685.7	,1687.4	,1545.7	,1406.8	,1227.3	,1097.2	,962.3	,896.0	,834.5	,
工业增加值 (亿元) 	,	,3476.7	,3244.7	,3157.5	,2789.6	,2255.0	,2327.7	,2253.4	,2020.5	,1995.5	,
建筑业增加值 (亿元) 	,	,948.7	,924.0	,835.5	,753.9	,646.7	,597.5	,518.2	,504.6	,498.3	,
批发和零售业增加值 (亿元) 	,	,949.0	,868.1	,812.3	,771.6	,666.3	,647.0	,587.6	,540.6	,516.6	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,705.8	,639.7	,530.8	,454.7	,400.3	,432.6	,408.5	,379.5	,344.9	,
住宿和餐饮业增加值 (亿元) 	,	,228.5	,205.7	,164.2	,172.9	,144.4	,162.2	,143.0	,138.7	,133.3	,
金融业增加值 (亿元) 	,	,952.7	,928.0	,917.6	,878.8	,848.2	,848.1	,774.5	,718.0	,646.3	,
房地产业增加值 (亿元) 	,	,756.0	,768.5	,735.3	,737.8	,705.8	,683.7	,645.9	,654.1	,623.8	,
其他行业增加值 (亿元) 	,	,3317.4	,3079.6	,2854.6	,2641.9	,2429.2	,2257.5	,2071.4	,1790.6	,1614.0	,
人均地区生产总值 (元/人) 	,55897	,52897	,49811	,46381	,42508	,37218	,36040	,33213	,30316	,28583	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
