数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,57476.6	,54801.7	,52099.6	,49602.6	,43682.0	,42479.1	,39204.8	,34432.2	,30199.2	,
第一产业增加值 (亿元) 	,	,3296.0	,3220.1	,3077.5	,2900.0	,2730.8	,2595.5	,2379.0	,2215.1	,2145.1	,
第二产业增加值 (亿元) 	,	,24449.8	,23502.8	,22470.0	,22434.5	,19509.7	,19578.6	,18847.8	,16290.0	,14683.7	,
第三产业增加值 (亿元) 	,	,29730.9	,28078.8	,26552.1	,24268.2	,21441.6	,20305.0	,17978.0	,15927.0	,13370.4	,
农林牧渔业增加值 (亿元) 	,	,3416.7	,3343.8	,3195.2	,3008.6	,2831.8	,2691.1	,2464.3	,2294.4	,2221.0	,
工业增加值 (亿元) 	,	,18917.9	,18264.6	,17495.2	,17543.0	,15063.7	,15214.7	,14781.0	,12864.9	,11712.0	,
建筑业增加值 (亿元) 	,	,5607.9	,5304.4	,5041.4	,4963.2	,4513.5	,4431.8	,4131.4	,3481.2	,3022.5	,
批发和零售业增加值 (亿元) 	,	,7872.7	,7340.7	,6699.6	,5892.0	,4856.4	,4499.7	,3891.9	,3426.5	,3043.4	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1877.3	,1734.2	,1713.4	,1629.2	,1385.5	,1429.5	,1385.3	,1317.9	,1191.9	,
住宿和餐饮业增加值 (亿元) 	,	,1006.5	,903.1	,784.2	,739.2	,611.2	,669.6	,611.8	,557.7	,493.1	,
金融业增加值 (亿元) 	,	,3120.2	,3110.9	,3258.6	,3014.7	,2949.0	,2856.7	,2581.1	,2343.4	,2082.4	,
房地产业增加值 (亿元) 	,	,2790.2	,2941.2	,3228.8	,3288.8	,3140.6	,3167.5	,2835.1	,2647.9	,2021.2	,
其他行业增加值 (亿元) 	,	,12867.1	,11858.9	,10683.2	,9524.0	,8330.3	,7518.5	,6523.0	,5498.4	,4411.7	,
人均地区生产总值 (元/人) 	,143623	,137241	,130932	,124417	,118837	,105283	,103092	,95984	,85218	,75498	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
