数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,2789.1	,2532.9	,2235.4	,2145.1	,1956.5	,1750.3	,1583.5	,1381.0	,1197.4	,
第一产业增加值 (亿元) 	,	,256.7	,218.7	,186.2	,164.1	,150.3	,138.2	,128.3	,118.2	,110.5	,
第二产业增加值 (亿元) 	,	,1018.8	,858.7	,770.2	,748.4	,708.0	,638.8	,582.7	,469.6	,390.4	,
第三产业增加值 (亿元) 	,	,1513.5	,1455.5	,1279.0	,1232.5	,1098.2	,973.4	,872.4	,793.2	,696.4	,
农林牧渔业增加值 (亿元) 	,	,262.7	,223.7	,191.0	,168.6	,154.4	,142.1	,132.2	,121.5	,113.6	,
工业增加值 (亿元) 	,	,420.3	,332.9	,266.8	,226.3	,179.1	,141.0	,127.0	,110.1	,91.6	,
建筑业增加值 (亿元) 	,	,599.0	,526.0	,503.6	,522.3	,529.2	,497.8	,455.8	,359.6	,298.8	,
批发和零售业增加值 (亿元) 	,	,166.7	,156.1	,125.0	,129.6	,109.4	,109.0	,95.5	,87.8	,80.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,82.7	,76.0	,53.5	,53.9	,48.2	,50.1	,48.0	,42.3	,37.9	,
住宿和餐饮业增加值 (亿元) 	,	,40.8	,40.5	,32.0	,39.5	,36.4	,44.4	,39.5	,34.9	,32.4	,
金融业增加值 (亿元) 	,	,269.0	,244.1	,227.8	,213.7	,186.5	,124.2	,118.6	,108.2	,90.4	,
房地产业增加值 (亿元) 	,	,102.2	,108.4	,92.9	,102.9	,99.9	,70.2	,73.9	,63.3	,56.0	,
其他行业增加值 (亿元) 	,	,845.6	,825.0	,742.9	,688.3	,613.5	,571.5	,493.1	,453.4	,396.2	,
人均地区生产总值 (元/人) 	,81502	,75893	,69489	,61244	,58609	,53825	,48961	,45049	,40086	,35743	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
