数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,22645.7	,21513.7	,20579.5	,19921.3	,18308.3	,17251.8	,15886.6	,14067.3	,12133.9	,
第一产业增加值 (亿元) 	,	,2965.9	,2883.3	,2862.2	,2730.5	,2539.9	,2280.5	,2156.0	,2032.3	,1861.8	,
第二产业增加值 (亿元) 	,	,7043.9	,6638.5	,6360.7	,6351.8	,5881.1	,5836.6	,5506.2	,4970.9	,4468.7	,
第三产业增加值 (亿元) 	,	,12635.9	,11991.8	,11356.7	,10839.1	,9887.2	,9134.6	,8224.3	,7064.2	,5803.4	,
农林牧渔业增加值 (亿元) 	,	,3135.2	,3044.8	,3015.9	,2879.1	,2675.6	,2408.0	,2273.0	,2140.0	,1959.9	,
工业增加值 (亿元) 	,	,5646.3	,5286.4	,4948.6	,4898.8	,4399.2	,4392.5	,4165.5	,3821.4	,3501.7	,
建筑业增加值 (亿元) 	,	,1408.1	,1361.3	,1420.0	,1458.9	,1486.9	,1448.8	,1344.9	,1152.6	,970.0	,
批发和零售业增加值 (亿元) 	,	,2398.6	,2253.6	,1987.1	,1845.7	,1549.5	,1338.9	,1181.2	,1040.1	,893.7	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,930.3	,826.2	,770.8	,775.9	,686.0	,700.8	,660.0	,580.2	,506.7	,
住宿和餐饮业增加值 (亿元) 	,	,545.8	,494.6	,445.7	,472.0	,384.2	,419.7	,378.4	,337.2	,292.6	,
金融业增加值 (亿元) 	,	,1505.1	,1500.3	,1534.3	,1296.7	,1232.8	,986.9	,992.3	,874.5	,736.1	,
房地产业增加值 (亿元) 	,	,1121.2	,1184.8	,1183.2	,1229.5	,1178.1	,1129.8	,1005.6	,867.8	,679.3	,
其他行业增加值 (亿元) 	,	,5955.1	,5561.8	,5273.9	,5064.6	,4715.8	,4426.4	,3885.8	,3253.4	,2593.9	,
人均地区生产总值 (元/人) 	,61066	,58630	,55728	,53398	,51677	,47517	,44985	,41670	,37210	,32505	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
