数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,32540.8	,31389.8	,29739.7	,28471.0	,25839.0	,25665.9	,24113.5	,22105.4	,20832.0	,
第一产业增加值 (亿元) 	,	,2658.5	,2642.2	,2598.0	,2462.1	,2284.8	,2178.0	,2020.6	,1902.3	,1841.2	,
第二产业增加值 (亿元) 	,	,11322.3	,11104.8	,10924.1	,10664.9	,9294.3	,9510.3	,9049.0	,8328.9	,7865.7	,
第三产业增加值 (亿元) 	,	,18560.1	,17642.9	,16217.5	,15344.0	,14259.9	,13977.6	,13044.0	,11874.2	,11125.2	,
农林牧渔业增加值 (亿元) 	,	,2763.1	,2736.2	,2687.9	,2548.1	,2370.3	,2266.9	,2109.6	,2000.4	,1945.8	,
工业增加值 (亿元) 	,	,9726.3	,9615.0	,9484.3	,9129.7	,7812.3	,8058.0	,7728.7	,7039.0	,6617.5	,
建筑业增加值 (亿元) 	,	,1707.7	,1606.9	,1519.0	,1625.0	,1547.3	,1508.4	,1433.9	,1388.2	,1338.0	,
批发和零售业增加值 (亿元) 	,	,3129.2	,3021.3	,2745.8	,2524.1	,2204.5	,2254.8	,2046.9	,1988.1	,1920.7	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1768.9	,1581.9	,1407.9	,1367.0	,1228.8	,1317.8	,1314.7	,1265.3	,1208.8	,
住宿和餐饮业增加值 (亿元) 	,	,590.0	,534.5	,413.7	,397.6	,310.9	,342.7	,296.3	,287.8	,284.9	,
金融业增加值 (亿元) 	,	,1609.3	,1493.4	,1631.7	,1704.1	,1799.4	,1836.2	,1856.6	,1755.9	,1650.4	,
房地产业增加值 (亿元) 	,	,2026.8	,2092.3	,1927.5	,2041.9	,2061.8	,2003.7	,1842.6	,1558.6	,1492.5	,
其他行业增加值 (亿元) 	,	,9219.5	,8708.3	,7921.9	,7133.5	,6503.7	,6077.5	,5484.2	,4822.2	,4373.3	,
人均地区生产总值 (元/人) 	,80094	,78064	,74925	,70590	,67117	,60570	,59911	,56058	,51176	,48083	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
