数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,32046.7	,30614.3	,28771.8	,28092.5	,25158.1	,23689.6	,21866.8	,20260.8	,18271.1	,
第一产业增加值 (亿元) 	,	,2078.8	,2033.7	,2012.6	,1922.3	,1803.5	,1551.6	,1378.7	,1276.1	,1237.0	,
第二产业增加值 (亿元) 	,	,11484.6	,11199.1	,10477.4	,10679.5	,9646.0	,9059.8	,8842.2	,8455.0	,7765.4	,
第三产业增加值 (亿元) 	,	,18483.4	,17381.6	,16281.8	,15490.7	,13708.5	,13078.2	,11645.9	,10529.7	,9268.8	,
农林牧渔业增加值 (亿元) 	,	,2136.6	,2085.6	,2060.1	,1964.2	,1837.0	,1581.3	,1405.4	,1300.3	,1258.4	,
工业增加值 (亿元) 	,	,8722.9	,8440.5	,7942.2	,7894.4	,6980.8	,6467.1	,6268.1	,6202.4	,5896.2	,
建筑业增加值 (亿元) 	,	,2783.1	,2777.8	,2556.2	,2805.3	,2682.5	,2592.7	,2574.1	,2252.6	,1869.2	,
批发和零售业增加值 (亿元) 	,	,3752.2	,3346.4	,3058.2	,2838.4	,2416.0	,2231.3	,2024.6	,1955.1	,1703.4	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1376.4	,1345.4	,1234.6	,1194.6	,1008.4	,1011.5	,905.9	,833.7	,782.4	,
住宿和餐饮业增加值 (亿元) 	,	,817.5	,740.9	,638.6	,620.1	,500.7	,518.1	,458.3	,426.0	,392.0	,
金融业增加值 (亿元) 	,	,2192.7	,2117.8	,2188.6	,2187.2	,2090.7	,2019.2	,1876.0	,1737.6	,1594.0	,
房地产业增加值 (亿元) 	,	,1629.5	,1781.8	,1722.2	,1767.9	,1667.9	,1728.9	,1548.2	,1415.9	,1269.4	,
其他行业增加值 (亿元) 	,	,8635.9	,7978.0	,7371.3	,6820.5	,5974.1	,5539.5	,4806.2	,4137.2	,3506.2	,
人均地区生产总值 (元/人) 	,105874	,100444	,95610	,89562	,87502	,78656	,74601	,69341	,64793	,59130	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
