数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,35437.1	,33976.5	,33035.6	,30476.6	,26297.0	,26214.5	,24354.8	,21776.1	,19354.6	,
第一产业增加值 (亿元) 	,	,2621.8	,2649.1	,2574.9	,2409.5	,2267.7	,1991.1	,1830.2	,1741.1	,1696.1	,
第二产业增加值 (亿元) 	,	,14402.2	,13937.3	,14264.7	,12963.3	,10721.1	,11590.2	,11215.3	,10114.1	,8906.5	,
第三产业增加值 (亿元) 	,	,18413.1	,17390.1	,16196.0	,15103.7	,13308.2	,12633.2	,11309.4	,9921.0	,8752.0	,
农林牧渔业增加值 (亿元) 	,	,2790.6	,2799.5	,2712.7	,2533.7	,2381.8	,2098.2	,1927.8	,1830.6	,1778.9	,
工业增加值 (亿元) 	,	,12069.0	,11699.1	,11992.6	,10739.9	,8389.6	,9311.7	,9088.1	,8232.9	,7226.9	,
建筑业增加值 (亿元) 	,	,2544.7	,2456.3	,2458.4	,2413.8	,2451.0	,2401.0	,2233.0	,1959.0	,1732.8	,
批发和零售业增加值 (亿元) 	,	,2941.4	,2764.4	,2561.7	,2334.1	,2019.2	,1960.2	,1734.5	,1606.7	,1473.2	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1527.5	,1442.9	,1310.2	,1265.5	,1142.8	,1112.5	,1040.2	,965.8	,885.3	,
住宿和餐饮业增加值 (亿元) 	,	,632.2	,602.9	,492.1	,472.1	,395.1	,452.0	,393.0	,367.8	,346.2	,
金融业增加值 (亿元) 	,	,2134.8	,2043.8	,2008.2	,1903.7	,1769.8	,1648.3	,1580.3	,1435.9	,1295.1	,
房地产业增加值 (亿元) 	,	,2048.6	,2106.8	,2085.8	,2045.4	,1696.2	,1668.2	,1498.6	,1231.2	,1105.2	,
其他行业增加值 (亿元) 	,	,8748.4	,8060.7	,7414.0	,6768.4	,6051.4	,5562.4	,4859.4	,4146.1	,3511.1	,
人均地区生产总值 (元/人) 	,92663	,89657	,85929	,83529	,77068	,66583	,66577	,62169	,55994	,50142	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
