数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,3965.5	,3849.2	,3677.4	,3446.3	,3080.6	,3020.2	,2799.9	,2517.0	,2310.7	,
第一产业增加值 (亿元) 	,	,360.2	,387.3	,382.6	,357.1	,341.1	,304.8	,270.9	,241.0	,223.7	,
第二产业增加值 (亿元) 	,	,1664.6	,1636.5	,1618.7	,1389.7	,1157.5	,1172.0	,1093.7	,975.7	,867.7	,
第三产业增加值 (亿元) 	,	,1940.7	,1825.4	,1676.1	,1699.5	,1582.0	,1543.4	,1435.3	,1300.3	,1219.3	,
农林牧渔业增加值 (亿元) 	,	,364.2	,388.7	,383.9	,358.4	,342.3	,306.0	,272.0	,242.0	,224.7	,
工业增加值 (亿元) 	,	,1352.7	,1341.1	,1304.6	,1022.4	,817.3	,839.9	,777.5	,683.2	,597.4	,
建筑业增加值 (亿元) 	,	,317.2	,301.9	,314.0	,367.3	,340.2	,332.0	,316.2	,292.5	,270.3	,
批发和零售业增加值 (亿元) 	,	,173.6	,170.7	,169.5	,193.9	,167.7	,161.4	,150.9	,145.0	,141.2	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,181.2	,169.3	,137.4	,128.1	,106.2	,116.9	,123.9	,119.0	,108.0	,
住宿和餐饮业增加值 (亿元) 	,	,41.1	,41.2	,33.6	,44.5	,40.7	,50.7	,47.5	,45.4	,43.6	,
金融业增加值 (亿元) 	,	,279.6	,280.4	,278.8	,282.7	,265.9	,261.7	,259.5	,258.9	,232.6	,
房地产业增加值 (亿元) 	,	,198.2	,201.5	,184.3	,177.0	,188.6	,177.1	,154.3	,143.5	,133.6	,
其他行业增加值 (亿元) 	,	,1057.8	,954.4	,871.3	,872.0	,811.6	,774.4	,698.1	,587.5	,559.3	,
人均地区生产总值 (元/人) 	,69567	,66815	,64747	,61857	,58067	,52081	,51321	,47739	,43099	,39874	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
