数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地区生产总值 (亿元) 	,	,16478.1	,16470.7	,16359.2	,15292.8	,14000.1	,13962.5	,13205.7	,12659.5	,12280.9	,
第一产业增加值 (亿元) 	,	,3249.8	,3542.1	,3635.3	,3463.9	,3445.1	,3183.2	,3001.2	,2965.3	,2751.2	,
第二产业增加值 (亿元) 	,	,4167.3	,4205.4	,4549.5	,4082.3	,3454.7	,3668.0	,3536.0	,3519.5	,3689.7	,
第三产业增加值 (亿元) 	,	,9061.0	,8723.3	,8174.4	,7746.6	,7100.3	,7111.3	,6668.6	,6174.8	,5839.9	,
农林牧渔业增加值 (亿元) 	,	,3372.0	,3651.3	,3737.7	,3558.6	,3534.6	,3268.2	,3080.2	,3036.9	,2817.7	,
工业增加值 (亿元) 	,	,3806.7	,3903.2	,4156.7	,3734.9	,3113.0	,3355.1	,3266.7	,3226.1	,3367.3	,
建筑业增加值 (亿元) 	,	,509.1	,468.4	,490.3	,474.5	,430.4	,433.3	,409.4	,414.3	,429.5	,
批发和零售业增加值 (亿元) 	,	,1420.5	,1395.1	,1332.7	,1245.4	,1007.3	,1006.5	,946.3	,900.6	,876.0	,
交通运输、仓储和邮政业增加值 (亿元) 	,	,1072.6	,1023.8	,862.2	,701.3	,599.2	,550.6	,511.0	,491.0	,465.7	,
住宿和餐饮业增加值 (亿元) 	,	,270.6	,252.3	,214.0	,217.5	,178.2	,233.8	,213.7	,200.2	,186.6	,
金融业增加值 (亿元) 	,	,861.4	,855.4	,894.3	,924.9	,939.3	,922.2	,946.6	,898.6	,864.6	,
房地产业增加值 (亿元) 	,	,945.6	,979.6	,958.1	,952.4	,972.2	,983.0	,936.6	,887.1	,895.2	,
其他行业增加值 (亿元) 	,	,4219.6	,3941.7	,3713.2	,3483.4	,3226.0	,3209.9	,2895.3	,2604.7	,2378.2	,
人均地区生产总值 (元/人) 	,55980	,54106	,53468	,52568	,48579	,43573	,42426	,39268	,36898	,35128	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
