数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,98.29	,101.86	,95.57	,93.96	,91.44	,95.89	,103.74	,99.78	,111.78	,
夏收粮食产量 (万吨) 	,	,	,	,12.00	,7.86	,5.55	,6.25	,13.96	,11.64	,17.13	,
秋粮产量 (万吨) 	,	,	,	,83.58	,86.11	,85.89	,89.65	,89.78	,88.13	,94.65	,
谷物产量 (万吨) 	,	,98.12	,101.65	,95.33	,93.69	,91.07	,95.35	,103.18	,99.25	,110.99	,
稻谷产量 (万吨) 	,	,81.82	,86.52	,82.73	,85.15	,84.66	,88.04	,87.97	,85.60	,91.41	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,82.73	,85.15	,84.66	,88.04	,87.97	,85.60	,91.41	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,14.92	,12.94	,10.71	,7.35	,5.26	,5.80	,12.98	,10.18	,13.22	,
冬小麦产量 (万吨) 	,	,	,	,10.71	,7.35	,5.26	,5.80	,12.98	,10.18	,13.22	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,0.42	,0.47	,0.61	,0.68	,0.85	,1.06	,1.25	,2.10	,2.72	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.98	,1.37	,3.63	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.98	,1.37	,3.63	,
豆类产量 (万吨) 	,	,0.14	,0.14	,0.14	,0.13	,0.15	,0.20	,0.17	,0.30	,0.75	,
绿豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
大豆产量 (万吨) 	,	,0.14	,0.14	,0.14	,0.13	,0.15	,0.20	,0.17	,0.21	,0.48	,
薯类产量 (万吨) 	,	,0.04	,0.07	,0.10	,0.14	,0.22	,0.35	,0.39	,0.22	,0.05	,
马铃薯产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花产量 (万吨) 	,	,	,	,0.0005	,0.0008	,0.0019	,0.0080	,0.0103	,0.0409	,0.1000	,
油料产量 (万吨) 	,	,0.66	,0.65	,0.28	,0.49	,0.72	,0.81	,0.71	,0.76	,1.06	,
花生产量 (万吨) 	,	,0.01	,0.03	,0.06	,0.05	,0.07	,0.16	,0.16	,0.28	,0.29	,
油菜籽产量 (万吨) 	,	,0.65	,0.61	,0.21	,0.44	,0.64	,0.63	,0.54	,0.48	,0.78	,
芝麻产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.01	,0.01	,0.01	,0.01	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,0.10	,0.11	,0.09	,0.09	,0.20	,0.39	,0.24	,0.21	,0.31	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.10	,0.11	,0.09	,0.09	,0.25	,0.39	,0.24	,0.19	,0.28	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.03	,
烟叶产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,258.73	,254.78	,259.63	,248.64	,252.90	,268.11	,294.49	,293.50	,304.62	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
