数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1993.46	,1974.00	,1957.96	,1930.30	,1895.86	,1870.03	,1860.54	,1843.42	,1815.07	,
夏收粮食产量 (万吨) 	,	,	,	,263.67	,261.81	,249.54	,243.60	,241.98	,241.66	,238.38	,
秋粮产量 (万吨) 	,	,	,	,1677.75	,1651.22	,1628.01	,1604.73	,1596.66	,1580.08	,1555.68	,
谷物产量 (万吨) 	,	,1653.48	,1628.60	,1613.54	,1605.58	,1587.50	,1579.40	,1581.72	,1568.09	,1540.02	,
稻谷产量 (万吨) 	,	,452.86	,455.54	,464.67	,491.90	,524.91	,534.00	,527.70	,529.23	,524.08	,
早稻产量 (万吨) 	,	,	,	,16.54	,17.27	,18.31	,21.70	,21.90	,21.68	,21.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,442.32	,467.15	,492.50	,498.00	,491.40	,493.43	,489.08	,
双季晚稻产量 (万吨) 	,	,	,	,5.81	,7.48	,14.10	,14.30	,14.40	,14.12	,14.00	,
小麦产量 (万吨) 	,	,56.43	,55.42	,59.51	,61.92	,69.70	,71.90	,74.28	,73.68	,71.52	,
冬小麦产量 (万吨) 	,	,	,	,59.51	,61.92	,69.70	,71.90	,74.28	,73.68	,71.52	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,1075.77	,1049.26	,1026.17	,992.60	,938.00	,920.00	,926.00	,912.93	,892.29	,
谷子产量 (万吨) 	,	,	,	,0.01	,0.23	,0.15	,0.15	,0.14	,0.14	,0.14	,
高粱产量 (万吨) 	,	,	,	,1.51	,1.21	,1.35	,1.03	,0.97	,0.98	,1.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,52.63	,51.13	,50.99	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,29.13	,27.96	,26.99	,
豆类产量 (万吨) 	,	,105.76	,104.13	,109.83	,109.15	,123.33	,122.33	,118.08	,118.31	,117.05	,
绿豆产量 (万吨) 	,	,	,	,0.36	,0.40	,0.74	,0.75	,0.75	,0.75	,0.75	,
红小豆产量 (万吨) 	,	,	,	,0.40	,0.50	,0.99	,0.90	,0.90	,0.90	,0.90	,
大豆产量 (万吨) 	,	,34.08	,34.18	,32.23	,31.61	,46.40	,46.00	,43.51	,43.47	,43.06	,
薯类产量 (万吨) 	,	,234.22	,241.27	,234.58	,215.57	,185.03	,168.30	,160.74	,157.02	,158.00	,
马铃薯产量 (万吨) 	,	,	,	,211.96	,197.17	,171.91	,155.70	,148.70	,145.35	,145.40	,
棉花产量 (万吨) 	,	,	,	,	,	,0.0003	,0.0004	,0.0007	,0.0000	,0.0105	,
油料产量 (万吨) 	,	,71.22	,68.45	,63.48	,63.89	,63.09	,62.51	,60.98	,56.26	,56.34	,
花生产量 (万吨) 	,	,9.40	,9.21	,8.51	,8.20	,7.61	,6.76	,6.96	,6.24	,6.30	,
油菜籽产量 (万吨) 	,	,60.30	,57.80	,53.88	,54.49	,54.23	,54.10	,52.52	,47.52	,47.51	,
芝麻产量 (万吨) 	,	,0.01	,0.01	,0.01	,0.01	,0.01	,0.01	,0.01	,0.02	,0.02	,
葵花籽产量 (万吨) 	,	,	,	,0.47	,0.56	,0.66	,0.72	,0.77	,0.70	,0.76	,
胡麻籽产量 (万吨) 	,	,	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,1687.15	,1586.89	,1553.70	,1583.89	,1597.20	,1569.69	,1640.08	,1516.15	,1523.77	,
麻类产量 (万吨) 	,	,0.05	,0.02	,0.08	,0.17	,0.75	,0.09	,0.02	,0.02	,0.05	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.02	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,1687.15	,1586.89	,1553.70	,1583.89	,1597.17	,1569.69	,1640.08	,1516.15	,1523.77	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,89.19	,89.56	,86.25	,84.75	,84.30	,83.54	,84.47	,86.23	,90.74	,
烤烟产量 (万吨) 	,	,86.77	,87.08	,83.97	,82.18	,81.60	,81.00	,82.29	,83.85	,87.89	,
蔬菜产量 (万吨) 	,	,3094.14	,2960.83	,2857.92	,2748.86	,2507.90	,2304.14	,2205.71	,2077.76	,1968.61	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
