数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,4100.45	,3957.84	,3900.63	,3840.30	,3664.10	,3652.54	,3553.28	,3254.54	,3263.28	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,3900.63	,3840.30	,3664.10	,3652.54	,3553.28	,3254.54	,3263.28	,
谷物产量 (万吨) 	,	,3670.90	,3572.00	,3529.11	,3529.09	,3281.60	,3261.82	,3197.83	,2930.84	,2960.12	,
稻谷产量 (万吨) 	,	,84.78	,82.09	,90.21	,115.30	,123.14	,136.15	,121.86	,85.23	,69.82	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,90.21	,115.30	,123.14	,136.15	,121.86	,85.23	,69.82	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,107.12	,132.46	,126.39	,157.24	,170.78	,182.67	,202.29	,189.05	,187.72	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,126.39	,157.24	,170.78	,182.67	,202.29	,189.05	,187.72	,
玉米产量 (万吨) 	,	,3276.18	,3179.56	,3098.36	,2994.25	,2742.71	,2722.32	,2699.95	,2497.44	,2563.09	,
谷子产量 (万吨) 	,	,	,	,92.30	,110.22	,97.23	,73.89	,62.22	,76.62	,59.30	,
高粱产量 (万吨) 	,	,	,	,72.26	,94.21	,90.26	,96.06	,67.51	,31.50	,33.32	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,44.00	,51.01	,46.86	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,4.84	,6.55	,7.68	,
豆类产量 (万吨) 	,	,259.78	,255.72	,259.71	,186.79	,256.44	,251.65	,205.65	,186.19	,168.67	,
绿豆产量 (万吨) 	,	,	,	,6.95	,10.91	,14.98	,19.00	,21.20	,17.90	,11.65	,
红小豆产量 (万吨) 	,	,	,	,2.65	,2.22	,1.99	,2.50	,2.55	,3.95	,2.85	,
大豆产量 (万吨) 	,	,248.11	,244.38	,245.42	,168.52	,234.74	,225.97	,179.40	,162.62	,150.75	,
薯类产量 (万吨) 	,	,169.77	,130.11	,111.81	,124.42	,126.07	,139.07	,149.80	,137.50	,134.49	,
马铃薯产量 (万吨) 	,	,	,	,110.03	,122.90	,124.19	,137.77	,149.51	,137.48	,134.33	,
棉花产量 (万吨) 	,	,	,	,	,0.0037	,0.0084	,0.0106	,0.0106	,0.0001	,0.0329	,
油料产量 (万吨) 	,	,211.35	,206.18	,169.98	,213.89	,217.25	,228.68	,201.51	,240.69	,228.82	,
花生产量 (万吨) 	,	,23.47	,18.73	,13.64	,25.68	,15.87	,10.82	,7.73	,5.93	,5.57	,
油菜籽产量 (万吨) 	,	,35.37	,37.78	,36.97	,32.24	,28.33	,38.98	,39.77	,35.60	,41.66	,
芝麻产量 (万吨) 	,	,0.01	,0.00	,0.00	,0.02	,0.08	,0.10	,0.08	,0.18	,0.12	,
葵花籽产量 (万吨) 	,	,	,	,115.44	,151.46	,168.15	,172.76	,147.55	,191.55	,173.69	,
胡麻籽产量 (万吨) 	,	,	,	,3.89	,4.48	,4.78	,5.92	,6.30	,5.94	,7.74	,
糖料产量 (万吨) 	,	,376.35	,305.36	,387.15	,362.09	,620.70	,629.65	,515.88	,344.34	,268.36	,
麻类产量 (万吨) 	,	,0.54	,0.52	,0.26	,0.09	,0.29	,0.26	,0.23	,0.73	,0.16	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.01	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.22	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.02	,0.73	,0.16	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,374.70	,304.75	,385.11	,362.05	,620.22	,629.65	,515.88	,344.34	,268.36	,
烟叶产量 (万吨) 	,	,0.24	,0.35	,0.44	,0.30	,0.47	,0.42	,0.55	,0.62	,0.94	,
烤烟产量 (万吨) 	,	,0.15	,0.23	,0.24	,0.19	,0.44	,0.42	,0.41	,0.53	,0.80	,
蔬菜产量 (万吨) 	,	,1201.18	,1097.14	,1012.87	,993.75	,1075.10	,1090.80	,1006.52	,1111.35	,1251.78	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
