数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,57.63	,47.78	,45.36	,37.75	,30.53	,28.76	,34.14	,41.12	,52.76	,
夏收粮食产量 (万吨) 	,	,	,	,9.57	,6.86	,4.65	,4.46	,5.35	,6.24	,8.56	,
秋粮产量 (万吨) 	,	,	,	,35.79	,30.89	,25.88	,24.30	,28.79	,34.88	,44.20	,
谷物产量 (万吨) 	,	,56.40	,45.62	,43.77	,36.45	,29.35	,27.74	,32.97	,39.93	,51.68	,
稻谷产量 (万吨) 	,	,0.22	,0.18	,0.21	,0.17	,0.14	,0.10	,0.11	,0.07	,0.14	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,0.21	,0.17	,0.14	,0.10	,0.11	,0.07	,0.14	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,16.06	,13.39	,9.56	,6.85	,4.62	,4.41	,5.26	,6.19	,8.54	,
冬小麦产量 (万吨) 	,	,	,	,9.33	,6.82	,4.53	,4.39	,5.23	,6.16	,8.54	,
春小麦产量 (万吨) 	,	,	,	,0.23	,0.03	,0.09	,0.02	,0.02	,0.03	,0.00	,
玉米产量 (万吨) 	,	,39.51	,31.62	,33.54	,29.04	,24.19	,22.83	,27.14	,33.21	,42.55	,
谷子产量 (万吨) 	,	,	,	,0.26	,0.28	,0.28	,0.28	,0.32	,0.37	,0.39	,
高粱产量 (万吨) 	,	,	,	,0.17	,0.10	,0.12	,0.09	,0.12	,0.08	,0.06	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.01	,0.01	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,0.32	,0.98	,0.91	,0.40	,0.33	,0.38	,0.52	,0.58	,0.43	,
绿豆产量 (万吨) 	,	,	,	,0.01	,0.01	,0.01	,0.01	,0.01	,0.01	,0.01	,
红小豆产量 (万吨) 	,	,	,	,0.03	,0.04	,0.03	,0.03	,0.04	,0.04	,0.03	,
大豆产量 (万吨) 	,	,0.29	,0.95	,0.86	,0.34	,0.26	,0.28	,0.37	,0.47	,0.37	,
薯类产量 (万吨) 	,	,0.91	,1.18	,0.67	,0.91	,0.85	,0.64	,0.66	,0.61	,0.65	,
马铃薯产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花产量 (万吨) 	,	,0.0002	,0.0003	,0.0005	,0.0006	,0.0007	,0.0007	,0.0008	,0.0002	,0.0045	,
油料产量 (万吨) 	,	,0.99	,1.03	,0.89	,0.52	,0.33	,0.31	,0.42	,0.53	,0.56	,
花生产量 (万吨) 	,	,0.86	,0.90	,0.83	,0.48	,0.28	,0.25	,0.32	,0.41	,0.44	,
油菜籽产量 (万吨) 	,	,0.04	,0.03	,0.02	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
芝麻产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,0.03	,0.04	,0.04	,0.05	,0.09	,0.12	,0.11	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,	,	,	,	,	,0.00	,0.00	,0.00	,0.00	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,201.99	,207.48	,198.86	,165.60	,137.90	,111.45	,130.55	,156.82	,183.58	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
