数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,4265.97	,4186.50	,4080.79	,4039.24	,3803.17	,3877.93	,3632.74	,4154.00	,4150.70	,
夏收粮食产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋粮产量 (万吨) 	,	,	,	,4080.79	,4039.24	,3803.17	,3877.93	,3632.74	,4154.00	,4150.70	,
谷物产量 (万吨) 	,	,4164.42	,4086.97	,3982.58	,3951.64	,3698.55	,3769.45	,3533.81	,4043.97	,4054.15	,
稻谷产量 (万吨) 	,	,676.38	,682.06	,680.91	,684.67	,665.43	,657.17	,646.32	,684.43	,670.45	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,680.91	,684.67	,665.43	,657.17	,646.32	,684.43	,670.45	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,0.91	,1.71	,1.74	,1.62	,1.67	,1.11	,0.04	,0.15	,0.15	,
冬小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦产量 (万吨) 	,	,	,	,1.74	,1.62	,1.67	,1.11	,0.04	,0.15	,0.15	,
玉米产量 (万吨) 	,	,3459.56	,3376.29	,3257.86	,3198.44	,2973.44	,3045.30	,2799.88	,3250.78	,3286.28	,
谷子产量 (万吨) 	,	,	,	,8.91	,16.27	,17.71	,16.96	,12.09	,22.41	,20.74	,
高粱产量 (万吨) 	,	,	,	,32.46	,49.76	,39.79	,48.42	,75.25	,85.75	,76.19	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.24	,0.45	,0.34	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,86.36	,81.59	,79.94	,62.56	,72.82	,77.04	,62.75	,67.08	,55.00	,
绿豆产量 (万吨) 	,	,	,	,6.54	,6.27	,6.01	,5.63	,6.72	,15.14	,16.24	,
红小豆产量 (万吨) 	,	,	,	,1.46	,0.72	,0.55	,0.85	,0.89	,1.78	,1.42	,
大豆产量 (万吨) 	,	,78.91	,74.44	,69.98	,54.74	,64.23	,70.12	,55.14	,50.16	,37.34	,
薯类产量 (万吨) 	,	,15.18	,17.95	,18.26	,25.05	,31.80	,31.44	,36.18	,42.95	,41.55	,
马铃薯产量 (万吨) 	,	,	,	,16.95	,23.40	,30.26	,30.70	,35.33	,41.70	,39.98	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,91.20	,88.40	,81.59	,85.75	,81.41	,81.78	,87.53	,128.48	,109.30	,
花生产量 (万吨) 	,	,88.45	,86.31	,79.44	,83.29	,78.30	,76.94	,80.28	,109.27	,86.84	,
油菜籽产量 (万吨) 	,	,0.00	,0.00	,0.00	,	,0.00	,0.03	,0.00	,0.04	,0.00	,
芝麻产量 (万吨) 	,	,0.01	,0.00	,0.00	,0.03	,0.16	,0.20	,0.14	,0.02	,0.08	,
葵花籽产量 (万吨) 	,	,	,	,1.38	,1.62	,2.01	,3.47	,6.02	,11.91	,16.24	,
胡麻籽产量 (万吨) 	,	,	,	,	,0.00	,0.03	,0.06	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,1.67	,1.59	,1.37	,1.29	,4.20	,2.92	,2.52	,2.59	,0.88	,
麻类产量 (万吨) 	,	,	,	,	,	,0.09	,0.02	,0.00	,0.01	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,1.67	,1.59	,1.37	,1.29	,4.15	,2.92	,2.52	,2.59	,0.88	,
烟叶产量 (万吨) 	,	,1.97	,2.11	,2.05	,2.13	,2.26	,2.44	,2.72	,1.79	,2.05	,
烤烟产量 (万吨) 	,	,0.98	,0.96	,0.89	,0.86	,0.94	,1.24	,1.54	,0.78	,1.09	,
蔬菜产量 (万吨) 	,	,546.55	,540.05	,514.84	,490.54	,464.90	,445.39	,438.15	,356.64	,348.01	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
