数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,3633.81	,3593.76	,3510.55	,3582.14	,3527.43	,3498.50	,3493.70	,3488.90	,3469.93	,
夏收粮食产量 (万吨) 	,	,	,	,436.71	,429.24	,426.30	,422.86	,419.50	,422.63	,425.28	,
秋粮产量 (万吨) 	,	,	,	,3073.84	,3152.90	,3101.13	,3075.64	,3074.20	,3066.27	,3044.65	,
谷物产量 (万吨) 	,	,2951.94	,2904.16	,2814.75	,2879.44	,2836.85	,2825.35	,2830.90	,2831.81	,2822.14	,
稻谷产量 (万吨) 	,	,1491.87	,1480.77	,1462.28	,1493.40	,1475.33	,1469.82	,1478.60	,1473.70	,1467.34	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1462.28	,1493.40	,1475.33	,1469.82	,1478.60	,1473.70	,1467.34	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,278.01	,265.93	,249.71	,245.30	,246.74	,246.18	,247.30	,251.60	,259.58	,
冬小麦产量 (万吨) 	,	,	,	,247.59	,243.20	,244.30	,243.81	,244.70	,248.80	,256.69	,
春小麦产量 (万吨) 	,	,	,	,2.12	,2.10	,2.44	,2.37	,2.60	,2.80	,2.89	,
玉米产量 (万吨) 	,	,1123.20	,1097.21	,1046.22	,1084.70	,1064.99	,1062.14	,1066.30	,1068.00	,1058.02	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,31.20	,31.80	,27.27	,25.73	,19.00	,17.82	,16.43	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,19.70	,20.69	,20.77	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,4.40	,4.38	,4.52	,
豆类产量 (万吨) 	,	,162.80	,163.09	,145.39	,143.50	,138.81	,129.92	,121.50	,119.23	,112.97	,
绿豆产量 (万吨) 	,	,	,	,2.64	,2.60	,2.59	,2.33	,2.40	,2.37	,2.39	,
红小豆产量 (万吨) 	,	,	,	,0.35	,0.30	,0.27	,0.23	,0.20	,0.20	,0.21	,
大豆产量 (万吨) 	,	,124.72	,124.65	,105.30	,104.40	,101.25	,94.67	,88.80	,85.87	,80.48	,
薯类产量 (万吨) 	,	,519.07	,526.52	,550.40	,559.20	,551.77	,543.23	,541.30	,537.86	,534.82	,
马铃薯产量 (万吨) 	,	,	,	,308.97	,292.40	,288.83	,284.39	,282.90	,283.76	,280.22	,
棉花产量 (万吨) 	,	,0.0000	,0.0138	,0.0293	,0.2027	,0.2164	,0.2779	,0.3994	,0.4276	,0.5000	,
油料产量 (万吨) 	,	,460.82	,438.64	,433.81	,416.60	,392.91	,367.35	,362.54	,357.89	,346.18	,
花生产量 (万吨) 	,	,85.30	,82.71	,78.53	,76.25	,73.78	,68.37	,67.67	,65.99	,64.78	,
油菜籽产量 (万吨) 	,	,374.09	,354.39	,354.14	,338.66	,317.20	,296.45	,292.20	,288.03	,277.00	,
芝麻产量 (万吨) 	,	,0.32	,0.31	,0.29	,0.30	,0.28	,0.26	,0.24	,0.19	,0.22	,
葵花籽产量 (万吨) 	,	,	,	,0.24	,0.24	,0.28	,0.36	,0.30	,0.40	,0.95	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,39.55	,39.27	,38.48	,38.65	,37.90	,37.24	,36.37	,34.92	,35.74	,
麻类产量 (万吨) 	,	,3.86	,3.53	,3.36	,3.26	,3.06	,3.17	,3.10	,3.03	,3.05	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.03	,0.03	,0.03	,0.03	,0.03	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,3.05	,2.99	,3.02	,
甘蔗产量 (万吨) 	,	,39.55	,39.23	,38.44	,38.61	,37.84	,37.18	,36.18	,34.74	,35.56	,
甜菜产量 (万吨) 	,	,0.00	,0.04	,0.04	,0.04	,0.06	,0.06	,0.19	,0.18	,0.18	,
烟叶产量 (万吨) 	,	,15.88	,17.27	,16.09	,16.13	,16.15	,16.04	,16.25	,18.05	,19.52	,
烤烟产量 (万吨) 	,	,14.17	,15.69	,14.64	,14.68	,14.62	,13.70	,13.97	,16.56	,18.02	,
蔬菜产量 (万吨) 	,	,5645.61	,5417.87	,5198.70	,5039.09	,4813.40	,4639.13	,4438.02	,4252.27	,4118.12	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
