数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,270.60	,255.73	,256.21	,249.87	,228.18	,223.25	,209.69	,212.27	,200.40	,
夏收粮食产量 (万吨) 	,	,	,	,72.96	,72.16	,62.86	,60.47	,57.13	,62.41	,58.90	,
秋粮产量 (万吨) 	,	,	,	,183.25	,177.70	,165.32	,162.78	,152.56	,149.87	,141.50	,
谷物产量 (万吨) 	,	,267.03	,252.71	,254.03	,248.43	,226.33	,221.17	,207.36	,209.94	,198.60	,
稻谷产量 (万吨) 	,	,53.50	,51.81	,52.62	,54.73	,50.24	,42.91	,37.41	,26.33	,20.04	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,52.62	,54.73	,50.24	,42.91	,37.41	,26.33	,20.04	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,79.94	,74.47	,72.96	,72.16	,62.86	,60.47	,57.13	,62.41	,58.90	,
冬小麦产量 (万吨) 	,	,	,	,59.39	,62.98	,54.91	,51.57	,49.85	,55.64	,53.15	,
春小麦产量 (万吨) 	,	,	,	,13.57	,9.18	,7.96	,8.90	,7.28	,6.77	,5.76	,
玉米产量 (万吨) 	,	,128.96	,120.68	,123.82	,118.28	,109.70	,115.18	,110.55	,119.29	,118.69	,
谷子产量 (万吨) 	,	,	,	,0.02	,0.05	,0.25	,0.14	,0.08	,0.33	,0.24	,
高粱产量 (万吨) 	,	,	,	,4.60	,3.22	,3.27	,2.44	,2.18	,1.48	,0.64	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.09	,0.09	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,1.22	,1.32	,1.21	,0.55	,0.90	,1.09	,1.42	,0.85	,0.89	,
绿豆产量 (万吨) 	,	,	,	,0.01	,0.01	,0.02	,0.02	,0.02	,0.02	,0.01	,
红小豆产量 (万吨) 	,	,	,	,0.02	,0.02	,0.02	,0.03	,0.02	,0.02	,0.01	,
大豆产量 (万吨) 	,	,1.20	,1.30	,1.18	,0.51	,0.85	,1.04	,1.35	,0.78	,0.83	,
薯类产量 (万吨) 	,	,2.35	,1.69	,0.97	,0.88	,0.96	,0.99	,0.91	,1.49	,0.91	,
马铃薯产量 (万吨) 	,	,	,	,0.20	,0.19	,0.21	,0.18	,0.37	,0.63	,0.58	,
棉花产量 (万吨) 	,	,0.1212	,0.1474	,0.3215	,0.3964	,1.0242	,1.8134	,1.8264	,2.4805	,2.1000	,
油料产量 (万吨) 	,	,0.49	,0.42	,0.41	,0.31	,0.31	,0.41	,0.63	,1.26	,1.34	,
花生产量 (万吨) 	,	,0.29	,0.21	,0.22	,0.29	,0.28	,0.36	,0.53	,0.53	,0.43	,
油菜籽产量 (万吨) 	,	,0.08	,0.13	,0.01	,0.01	,0.01	,0.01	,0.01	,0.04	,0.03	,
芝麻产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.01	,
葵花籽产量 (万吨) 	,	,	,	,0.12	,0.01	,0.01	,0.03	,0.08	,0.61	,0.86	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,0.02	,0.02	,0.01	,0.00	,	,0.00	,0.02	,0.00	,0.00	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.02	,0.02	,0.01	,0.00	,0.02	,	,0.02	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,	,	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,266.41	,253.75	,256.44	,238.98	,266.50	,242.78	,253.98	,269.61	,274.43	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
