数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,385.92	,378.80	,375.83	,368.44	,380.49	,373.15	,392.58	,370.05	,370.65	,
夏收粮食产量 (万吨) 	,	,	,	,27.86	,19.73	,29.05	,36.16	,43.35	,38.82	,39.00	,
秋粮产量 (万吨) 	,	,	,	,347.97	,348.70	,351.44	,336.99	,349.23	,331.23	,331.65	,
谷物产量 (万吨) 	,	,353.58	,345.05	,339.34	,331.28	,337.30	,331.45	,353.39	,333.12	,334.34	,
稻谷产量 (万吨) 	,	,19.21	,16.20	,23.66	,41.00	,49.39	,55.09	,66.55	,68.85	,67.88	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,23.66	,41.00	,49.39	,55.09	,66.55	,68.85	,67.88	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,24.27	,23.45	,27.27	,18.95	,27.79	,34.61	,41.58	,37.82	,38.00	,
冬小麦产量 (万吨) 	,	,	,	,5.09	,7.39	,11.74	,11.61	,12.42	,9.28	,10.60	,
春小麦产量 (万吨) 	,	,	,	,22.18	,11.56	,16.05	,23.00	,29.16	,28.54	,27.40	,
玉米产量 (万吨) 	,	,299.32	,294.89	,276.63	,263.39	,249.07	,230.47	,234.62	,214.87	,220.47	,
谷子产量 (万吨) 	,	,	,	,3.65	,2.49	,2.63	,1.94	,1.60	,2.25	,2.00	,
高粱产量 (万吨) 	,	,	,	,0.53	,0.46	,	,	,	,0.77	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,9.04	,8.56	,6.00	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类产量 (万吨) 	,	,3.03	,3.76	,3.89	,0.97	,1.65	,2.27	,2.81	,1.73	,2.11	,
绿豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆产量 (万吨) 	,	,	,	,0.02	,	,	,	,	,0.00	,0.00	,
大豆产量 (万吨) 	,	,2.65	,3.38	,3.42	,0.23	,0.39	,0.62	,0.88	,0.73	,1.11	,
薯类产量 (万吨) 	,	,29.31	,29.99	,32.59	,36.19	,41.54	,39.43	,36.38	,35.20	,34.20	,
马铃薯产量 (万吨) 	,	,	,	,32.59	,36.19	,41.54	,39.43	,36.38	,35.20	,34.20	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,5.36	,4.61	,4.54	,4.82	,6.65	,7.66	,7.29	,6.94	,7.62	,
花生产量 (万吨) 	,	,0.22	,0.00	,0.00	,0.01	,0.01	,0.01	,0.03	,0.02	,0.03	,
油菜籽产量 (万吨) 	,	,0.92	,1.08	,0.44	,0.54	,0.94	,0.76	,0.63	,0.42	,0.38	,
芝麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,1.20	,1.56	,2.15	,2.83	,2.76	,2.75	,3.01	,
胡麻籽产量 (万吨) 	,	,	,	,2.90	,2.71	,3.56	,3.94	,3.62	,2.99	,3.37	,
糖料产量 (万吨) 	,	,0.03	,0.01	,0.01	,0.07	,	,0.15	,0.00	,0.00	,0.00	,
麻类产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,0.03	,0.01	,0.01	,0.07	,0.00	,0.15	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,0.06	,0.05	,0.05	,0.05	,0.08	,0.12	,0.14	,0.09	,0.11	,
烤烟产量 (万吨) 	,	,0.06	,0.05	,0.05	,0.05	,0.08	,0.12	,0.14	,0.09	,0.11	,
蔬菜产量 (万吨) 	,	,557.81	,544.54	,527.94	,533.03	,566.40	,565.91	,550.81	,539.94	,524.48	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
