数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,4184.30	,4150.75	,4100.13	,4087.56	,4019.22	,4054.00	,4007.25	,4019.71	,3961.76	,
夏收粮食产量 (万吨) 	,	,	,	,1722.39	,1699.86	,1671.89	,1657.04	,1607.51	,1644.68	,1635.65	,
秋粮产量 (万吨) 	,	,	,	,2276.63	,2288.51	,2256.13	,2295.96	,2287.13	,2248.66	,2200.81	,
谷物产量 (万吨) 	,	,4059.14	,4026.67	,3979.98	,3973.61	,3901.88	,3934.96	,3889.33	,3907.74	,3852.43	,
稻谷产量 (万吨) 	,	,1630.87	,1609.80	,1583.40	,1590.43	,1560.51	,1630.01	,1681.21	,1647.46	,1570.02	,
早稻产量 (万吨) 	,	,	,	,101.10	,99.19	,91.20	,101.00	,112.61	,126.37	,125.30	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1380.73	,1395.04	,1372.49	,1438.66	,1469.38	,1414.65	,1333.85	,
双季晚稻产量 (万吨) 	,	,	,	,101.57	,96.19	,96.81	,90.35	,99.22	,106.45	,110.86	,
小麦产量 (万吨) 	,	,1759.22	,1740.72	,1722.27	,1699.73	,1671.73	,1656.89	,1607.45	,1644.47	,1635.50	,
冬小麦产量 (万吨) 	,	,	,	,1722.27	,1699.73	,1671.73	,1656.89	,1607.45	,1644.47	,1635.50	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,657.58	,665.05	,663.39	,677.46	,663.25	,642.79	,595.61	,610.66	,634.49	,
谷子产量 (万吨) 	,	,	,	,0.57	,0.34	,0.78	,0.64	,2.89	,4.79	,12.13	,
高粱产量 (万吨) 	,	,	,	,7.20	,3.60	,3.40	,3.18	,0.15	,0.15	,0.14	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,2.02	,0.20	,0.15	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.06	,0.06	,0.06	,
豆类产量 (万吨) 	,	,104.44	,103.68	,99.93	,95.88	,98.13	,100.84	,102.99	,97.14	,93.59	,
绿豆产量 (万吨) 	,	,	,	,4.62	,3.97	,4.23	,4.14	,4.40	,2.47	,2.45	,
红小豆产量 (万吨) 	,	,	,	,1.09	,1.00	,0.96	,0.98	,1.10	,0.65	,0.65	,
大豆产量 (万吨) 	,	,98.42	,97.78	,94.22	,90.91	,92.94	,95.72	,97.49	,94.03	,90.49	,
薯类产量 (万吨) 	,	,20.72	,20.40	,20.21	,18.07	,19.22	,18.20	,14.93	,14.82	,15.74	,
马铃薯产量 (万吨) 	,	,	,	,1.48	,1.30	,1.31	,1.38	,1.56	,1.43	,1.69	,
棉花产量 (万吨) 	,	,1.8578	,2.0265	,2.5579	,2.9122	,4.1006	,5.5536	,8.8509	,8.5541	,11.0779	,
油料产量 (万吨) 	,	,189.52	,188.99	,173.42	,167.14	,162.47	,161.38	,158.04	,154.66	,159.45	,
花生产量 (万吨) 	,	,73.88	,73.27	,72.38	,71.82	,72.33	,70.56	,71.05	,68.76	,68.71	,
油菜籽产量 (万吨) 	,	,110.83	,110.59	,96.40	,91.06	,85.30	,87.28	,84.30	,83.16	,87.58	,
芝麻产量 (万吨) 	,	,3.48	,2.98	,2.25	,2.27	,1.99	,1.72	,1.13	,0.71	,0.77	,
葵花籽产量 (万吨) 	,	,	,	,0.16	,0.17	,0.18	,0.20	,0.31	,0.44	,0.38	,
胡麻籽产量 (万吨) 	,	,	,	,0.01	,0.03	,0.03	,0.02	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,8.42	,8.80	,9.26	,9.92	,11.10	,10.90	,10.10	,11.21	,11.21	,
麻类产量 (万吨) 	,	,0.63	,0.79	,0.95	,0.96	,1.02	,1.01	,0.32	,0.31	,0.31	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.26	,0.22	,0.12	,0.10	,0.10	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.19	,0.19	,0.20	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.02	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,5.31	,5.69	,6.29	,7.00	,8.05	,7.94	,10.10	,6.21	,6.18	,
甜菜产量 (万吨) 	,	,0.03	,	,	,	,	,	,0.00	,5.00	,5.04	,
烟叶产量 (万吨) 	,	,2.21	,2.24	,2.18	,2.01	,2.04	,2.13	,2.01	,2.09	,1.98	,
烤烟产量 (万吨) 	,	,2.19	,2.22	,2.15	,1.99	,2.02	,1.78	,1.97	,2.05	,1.94	,
蔬菜产量 (万吨) 	,	,2717.39	,2630.14	,2537.70	,2445.31	,2330.90	,2213.61	,2118.21	,2019.64	,1936.61	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
