数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,5710.20	,5655.28	,5543.78	,5500.75	,5446.81	,5357.00	,5319.51	,5374.31	,5332.28	,
夏收粮食产量 (万吨) 	,	,	,	,2641.61	,2637.20	,2569.20	,2553.27	,2472.23	,2495.96	,2490.97	,
秋粮产量 (万吨) 	,	,	,	,2902.17	,2863.54	,2877.62	,2803.73	,2847.28	,2878.35	,2841.31	,
谷物产量 (万吨) 	,	,5537.62	,5482.65	,5374.58	,5336.81	,5276.07	,5203.63	,5190.76	,5259.22	,5202.89	,
稻谷产量 (万吨) 	,	,86.29	,86.12	,90.59	,97.47	,98.77	,100.68	,98.59	,90.14	,88.84	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,90.59	,97.47	,98.77	,100.68	,98.59	,90.14	,88.84	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,2716.15	,2673.76	,2641.19	,2636.66	,2568.85	,2552.92	,2471.68	,2495.11	,2490.11	,
冬小麦产量 (万吨) 	,	,	,	,2641.19	,2636.66	,2568.85	,2552.92	,2471.68	,2495.11	,2490.11	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,2722.70	,2710.07	,2630.44	,2589.52	,2595.40	,2536.53	,2607.16	,2662.15	,2613.81	,
谷子产量 (万吨) 	,	,	,	,11.41	,12.08	,11.97	,12.47	,11.75	,10.16	,8.69	,
高粱产量 (万吨) 	,	,	,	,0.65	,0.69	,0.71	,0.68	,1.06	,1.09	,0.84	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.53	,0.57	,0.59	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.33	,0.37	,0.36	,
豆类产量 (万吨) 	,	,64.12	,64.95	,59.18	,54.87	,56.69	,53.49	,44.50	,33.62	,35.24	,
绿豆产量 (万吨) 	,	,	,	,0.42	,0.51	,0.52	,0.48	,0.49	,0.49	,0.48	,
红小豆产量 (万吨) 	,	,	,	,0.17	,0.17	,0.18	,0.17	,0.17	,0.17	,0.15	,
大豆产量 (万吨) 	,	,63.12	,63.96	,58.10	,53.51	,55.49	,52.35	,43.33	,32.13	,33.56	,
薯类产量 (万吨) 	,	,108.47	,107.68	,110.02	,109.07	,114.05	,99.88	,84.25	,81.47	,94.15	,
马铃薯产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花产量 (万吨) 	,	,12.7090	,12.5790	,14.4834	,14.0253	,18.2965	,19.6026	,21.7028	,20.7199	,32.8956	,
油料产量 (万吨) 	,	,284.30	,280.75	,273.96	,285.89	,290.95	,288.95	,310.90	,318.30	,317.14	,
花生产量 (万吨) 	,	,280.21	,276.81	,270.10	,281.82	,286.64	,284.76	,306.67	,313.53	,312.13	,
油菜籽产量 (万吨) 	,	,2.40	,2.33	,2.30	,2.39	,2.20	,2.25	,2.18	,2.12	,2.27	,
芝麻产量 (万吨) 	,	,0.23	,0.23	,0.17	,0.17	,0.15	,0.11	,0.08	,0.07	,0.10	,
葵花籽产量 (万吨) 	,	,	,	,0.52	,0.55	,0.59	,0.43	,0.49	,0.66	,0.67	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,0.02	,0.02	,0.04	,0.02	,	,0.00	,0.00	,0.01	,0.01	,
麻类产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.01	,0.01	,0.01	,0.01	,0.04	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.01	,0.04	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.02	,0.02	,0.02	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,	,	,0.02	,0.02	,0.01	,	,0.00	,0.01	,0.01	,
烟叶产量 (万吨) 	,	,5.13	,5.52	,4.91	,4.70	,4.72	,4.38	,4.63	,5.70	,6.48	,
烤烟产量 (万吨) 	,	,5.12	,5.51	,4.89	,4.67	,4.68	,4.23	,4.63	,5.70	,6.48	,
蔬菜产量 (万吨) 	,	,9623.15	,9272.41	,9045.78	,8801.08	,8434.70	,8181.15	,8192.04	,8133.77	,8034.72	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
