数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1468.66	,1478.09	,1464.25	,1421.25	,1424.27	,1361.80	,1380.40	,1355.10	,1380.33	,
夏收粮食产量 (万吨) 	,	,	,	,245.20	,243.37	,236.79	,227.67	,229.89	,233.75	,230.42	,
秋粮产量 (万吨) 	,	,	,	,1219.05	,1177.88	,1187.48	,1134.14	,1150.51	,1121.35	,1149.91	,
谷物产量 (万吨) 	,	,1385.63	,1393.41	,1380.37	,1334.14	,1331.25	,1266.77	,1293.22	,1280.06	,1310.55	,
稻谷产量 (万吨) 	,	,1.62	,1.49	,1.46	,1.75	,1.71	,1.76	,0.56	,0.52	,0.55	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1.46	,1.75	,1.71	,1.76	,0.56	,0.52	,0.55	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦产量 (万吨) 	,	,248.23	,247.08	,245.20	,243.37	,236.50	,226.21	,228.59	,232.40	,229.15	,
冬小麦产量 (万吨) 	,	,	,	,245.11	,243.26	,236.34	,226.21	,228.59	,232.40	,229.15	,
春小麦产量 (万吨) 	,	,	,	,0.10	,0.11	,0.16	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,1025.73	,1035.14	,1021.07	,977.57	,979.95	,939.37	,981.62	,977.87	,1017.96	,
谷子产量 (万吨) 	,	,	,	,52.82	,50.47	,54.24	,50.50	,47.26	,41.59	,37.83	,
高粱产量 (万吨) 	,	,	,	,36.60	,35.89	,31.80	,23.23	,11.53	,6.60	,5.65	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,23.65	,21.08	,19.40	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,22.96	,24.31	,24.30	,21.73	,30.72	,34.24	,35.62	,28.31	,27.42	,
绿豆产量 (万吨) 	,	,	,	,1.34	,1.83	,3.48	,4.88	,4.52	,4.67	,4.62	,
红小豆产量 (万吨) 	,	,	,	,0.42	,0.61	,0.98	,1.43	,1.43	,1.18	,1.09	,
大豆产量 (万吨) 	,	,18.80	,20.06	,18.92	,14.41	,20.78	,21.47	,23.60	,17.09	,16.70	,
薯类产量 (万吨) 	,	,60.08	,60.37	,59.58	,65.38	,62.30	,60.79	,51.56	,46.73	,42.36	,
马铃薯产量 (万吨) 	,	,	,	,51.61	,57.04	,53.79	,52.73	,45.33	,40.87	,37.05	,
棉花产量 (万吨) 	,	,0.0052	,0.0136	,0.0441	,0.0937	,0.1560	,0.2958	,0.3610	,0.4014	,0.5167	,
油料产量 (万吨) 	,	,19.62	,17.93	,14.95	,15.46	,14.31	,13.70	,15.47	,15.04	,15.95	,
花生产量 (万吨) 	,	,1.67	,1.72	,1.47	,1.33	,1.32	,1.35	,1.34	,1.30	,1.26	,
油菜籽产量 (万吨) 	,	,3.54	,2.90	,2.57	,2.79	,2.14	,2.22	,2.37	,1.78	,1.52	,
芝麻产量 (万吨) 	,	,0.20	,0.19	,0.13	,0.16	,0.19	,0.16	,0.19	,0.15	,0.16	,
葵花籽产量 (万吨) 	,	,	,	,5.70	,5.79	,5.31	,5.05	,5.90	,6.03	,6.33	,
胡麻籽产量 (万吨) 	,	,	,	,2.31	,2.44	,2.25	,2.93	,3.52	,3.54	,4.21	,
糖料产量 (万吨) 	,	,0.03	,0.12	,0.18	,0.42	,0.20	,0.06	,0.12	,0.64	,3.24	,
麻类产量 (万吨) 	,	,0.00	,0.00	,0.03	,0.16	,0.63	,0.04	,0.01	,0.01	,0.01	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.18	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.01	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.03	,	,	,	,0.00	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,0.01	,0.12	,0.18	,0.42	,0.16	,0.06	,0.12	,0.64	,3.24	,
烟叶产量 (万吨) 	,	,0.50	,0.47	,0.44	,0.43	,0.41	,0.35	,0.39	,0.52	,0.61	,
烤烟产量 (万吨) 	,	,0.47	,0.45	,0.44	,0.42	,0.41	,0.35	,0.35	,0.52	,0.61	,
蔬菜产量 (万吨) 	,	,1108.91	,1065.88	,1010.28	,976.30	,861.20	,827.83	,821.87	,806.74	,777.94	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
