数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1313.43	,1285.19	,1291.54	,1279.87	,1267.56	,1240.80	,1193.49	,1208.56	,1204.22	,
夏收粮食产量 (万吨) 	,	,	,	,68.56	,64.59	,64.19	,63.64	,63.86	,64.26	,64.03	,
秋粮产量 (万吨) 	,	,	,	,702.90	,691.13	,684.85	,688.88	,629.64	,635.28	,630.16	,
谷物产量 (万吨) 	,	,1189.74	,1162.94	,1172.60	,1165.71	,1158.51	,1131.62	,1087.54	,1101.98	,1096.45	,
稻谷产量 (万吨) 	,	,1123.56	,1096.89	,1108.63	,1104.41	,1099.58	,1075.05	,1032.07	,1046.34	,1039.53	,
早稻产量 (万吨) 	,	,	,	,520.09	,524.15	,518.52	,488.28	,499.99	,509.02	,510.03	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
双季晚稻产量 (万吨) 	,	,	,	,588.54	,580.26	,581.06	,586.77	,532.08	,537.33	,529.51	,
小麦产量 (万吨) 	,	,0.37	,0.21	,0.15	,0.09	,0.14	,0.15	,0.15	,0.15	,0.30	,
冬小麦产量 (万吨) 	,	,	,	,0.15	,0.09	,0.14	,0.15	,0.15	,0.15	,0.30	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,65.55	,65.47	,63.41	,60.80	,58.15	,55.59	,54.54	,54.64	,55.40	,
谷子产量 (万吨) 	,	,	,	,0.03	,0.03	,0.02	,0.02	,0.02	,0.03	,0.04	,
高粱产量 (万吨) 	,	,	,	,0.03	,0.03	,0.01	,0.01	,0.01	,0.01	,0.01	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.75	,0.81	,1.17	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类产量 (万吨) 	,	,12.47	,12.37	,11.94	,11.44	,11.76	,11.77	,11.28	,11.14	,11.24	,
绿豆产量 (万吨) 	,	,	,	,0.42	,0.41	,0.40	,0.34	,0.30	,0.37	,0.37	,
红小豆产量 (万吨) 	,	,	,	,0.26	,0.25	,0.24	,0.22	,0.20	,0.24	,0.20	,
大豆产量 (万吨) 	,	,9.80	,9.64	,9.27	,8.64	,9.10	,9.04	,8.71	,8.48	,8.63	,
薯类产量 (万吨) 	,	,111.22	,109.88	,107.01	,102.72	,97.29	,97.41	,94.67	,95.43	,96.53	,
马铃薯产量 (万吨) 	,	,	,	,21.35	,21.86	,23.64	,24.50	,24.72	,24.96	,24.01	,
棉花产量 (万吨) 	,	,	,	,	,	,	,0.0000	,0.0000	,0.0000	,0.0000	,
油料产量 (万吨) 	,	,123.15	,121.01	,117.43	,117.30	,113.52	,110.22	,106.25	,101.28	,99.35	,
花生产量 (万吨) 	,	,121.56	,119.54	,115.93	,115.87	,112.05	,108.69	,104.40	,98.42	,95.48	,
油菜籽产量 (万吨) 	,	,0.93	,0.77	,0.83	,0.76	,0.81	,0.89	,1.12	,2.14	,2.94	,
芝麻产量 (万吨) 	,	,0.64	,0.66	,0.64	,0.63	,0.62	,0.60	,0.61	,0.53	,0.52	,
葵花籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,1227.16	,1271.08	,1292.05	,1306.60	,1366.80	,1434.65	,1412.69	,1343.47	,1293.87	,
麻类产量 (万吨) 	,	,0.01	,0.02	,0.01	,0.02	,0.02	,0.02	,0.02	,0.02	,0.02	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.02	,0.02	,0.02	,0.02	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,1227.16	,1271.08	,1292.05	,1306.60	,1366.81	,1434.65	,1412.69	,1343.47	,1293.87	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,3.78	,3.74	,3.71	,3.88	,4.12	,4.17	,4.33	,4.26	,4.40	,
烤烟产量 (万吨) 	,	,3.61	,3.50	,3.34	,3.39	,3.57	,3.60	,3.75	,3.74	,3.75	,
蔬菜产量 (万吨) 	,	,4245.01	,4099.33	,3999.11	,3855.73	,3706.80	,3527.96	,3330.24	,3177.49	,3036.45	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
