数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,1403.77	,1395.36	,1393.15	,1386.54	,1370.02	,1332.00	,1372.80	,1370.49	,1419.03	,
夏收粮食产量 (万吨) 	,	,	,	,27.59	,26.60	,25.98	,20.04	,21.30	,21.69	,22.49	,
秋粮产量 (万吨) 	,	,	,	,885.11	,879.94	,867.30	,859.36	,881.02	,878.65	,900.05	,
谷物产量 (万吨) 	,	,1319.16	,1312.36	,1312.16	,1306.68	,1290.82	,1259.11	,1295.93	,1297.98	,1347.93	,
稻谷产量 (万吨) 	,	,1034.97	,1030.35	,1028.07	,1017.90	,1013.74	,991.95	,1016.24	,1019.78	,1066.00	,
早稻产量 (万吨) 	,	,	,	,480.45	,480.00	,476.75	,452.60	,470.48	,470.15	,496.49	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,94.39	,98.07	,93.80	,94.54	,94.36	,96.82	,90.45	,
双季晚稻产量 (万吨) 	,	,	,	,453.23	,439.83	,443.19	,444.81	,451.40	,452.80	,479.05	,
小麦产量 (万吨) 	,	,1.18	,0.98	,0.79	,0.63	,0.63	,0.48	,0.50	,0.51	,0.53	,
冬小麦产量 (万吨) 	,	,	,	,0.79	,0.63	,0.63	,0.48	,0.50	,0.51	,0.53	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米产量 (万吨) 	,	,280.34	,278.18	,280.40	,285.15	,273.33	,261.21	,273.40	,271.64	,275.78	,
谷子产量 (万吨) 	,	,	,	,0.71	,0.74	,0.82	,1.09	,1.11	,1.25	,1.04	,
高粱产量 (万吨) 	,	,	,	,1.02	,1.00	,1.05	,1.46	,1.56	,1.67	,1.88	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,3.12	,3.13	,2.71	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类产量 (万吨) 	,	,27.92	,27.76	,27.25	,26.76	,26.60	,24.20	,26.16	,24.68	,23.08	,
绿豆产量 (万吨) 	,	,	,	,2.11	,2.23	,2.33	,2.44	,2.58	,2.43	,2.53	,
红小豆产量 (万吨) 	,	,	,	,0.11	,0.11	,0.10	,0.10	,0.11	,0.11	,0.10	,
大豆产量 (万吨) 	,	,17.76	,17.35	,16.83	,15.94	,15.44	,14.87	,16.17	,15.32	,14.00	,
薯类产量 (万吨) 	,	,56.68	,55.24	,53.74	,53.10	,52.60	,48.69	,50.71	,47.83	,48.02	,
马铃薯产量 (万吨) 	,	,	,	,12.58	,12.64	,12.55	,12.01	,13.03	,13.76	,15.12	,
棉花产量 (万吨) 	,	,0.0797	,0.0857	,0.1066	,0.1121	,0.1096	,0.1147	,0.1285	,0.1494	,0.1732	,
油料产量 (万吨) 	,	,84.35	,80.75	,76.48	,75.86	,73.88	,71.63	,66.66	,64.93	,62.50	,
花生产量 (万吨) 	,	,78.82	,75.49	,71.68	,71.12	,69.23	,67.20	,62.67	,60.80	,58.40	,
油菜籽产量 (万吨) 	,	,4.88	,4.12	,3.58	,3.36	,3.14	,2.80	,2.34	,2.16	,2.16	,
芝麻产量 (万吨) 	,	,0.46	,0.95	,0.99	,1.15	,1.14	,1.17	,1.18	,1.67	,1.64	,
葵花籽产量 (万吨) 	,	,	,	,0.06	,0.10	,0.16	,0.19	,0.26	,0.28	,0.30	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,6929.81	,7223.21	,7116.54	,7365.11	,7412.50	,7490.65	,7292.76	,7132.35	,6991.45	,
麻类产量 (万吨) 	,	,0.64	,0.66	,0.76	,0.78	,0.76	,0.74	,0.69	,0.57	,0.59	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.65	,0.64	,0.61	,0.47	,0.48	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.08	,0.11	,0.11	,
甘蔗产量 (万吨) 	,	,6929.81	,7223.21	,7116.54	,7365.11	,7412.47	,7490.65	,7292.76	,7132.35	,6991.45	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,1.99	,2.37	,1.94	,1.97	,1.89	,1.62	,1.80	,2.51	,2.35	,
烤烟产量 (万吨) 	,	,1.71	,2.07	,1.62	,1.59	,1.53	,1.26	,1.43	,2.10	,1.94	,
蔬菜产量 (万吨) 	,	,4620.19	,4425.03	,4236.52	,4047.46	,3830.80	,3636.36	,3432.16	,3282.63	,3114.39	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
