数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,2330.22	,2119.16	,1813.50	,1735.78	,1583.40	,1527.07	,1504.23	,1484.73	,1552.33	,
夏收粮食产量 (万吨) 	,	,	,	,655.17	,641.30	,583.49	,579.28	,574.20	,613.08	,682.84	,
秋粮产量 (万吨) 	,	,	,	,1158.33	,1094.48	,999.91	,947.79	,930.03	,871.64	,869.49	,
谷物产量 (万吨) 	,	,2264.04	,2072.95	,1779.36	,1704.14	,1557.41	,1496.29	,1478.82	,1454.35	,1526.19	,
稻谷产量 (万吨) 	,	,36.05	,38.30	,34.60	,41.69	,41.87	,51.62	,72.65	,65.47	,71.68	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,34.60	,41.69	,41.87	,51.62	,72.65	,65.47	,71.68	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,703.15	,702.84	,653.49	,639.75	,582.09	,576.03	,571.89	,612.58	,681.84	,
冬小麦产量 (万吨) 	,	,	,	,471.64	,482.10	,410.62	,390.39	,368.20	,388.81	,421.85	,
春小麦产量 (万吨) 	,	,	,	,181.85	,157.65	,171.47	,185.64	,203.69	,223.77	,260.00	,
玉米产量 (万吨) 	,	,1508.54	,1321.42	,1080.51	,1012.65	,928.43	,858.37	,827.57	,772.62	,765.64	,
谷子产量 (万吨) 	,	,	,	,1.22	,0.69	,0.28	,0.76	,0.75	,1.01	,2.46	,
高粱产量 (万吨) 	,	,	,	,6.03	,6.80	,2.93	,5.84	,3.65	,1.64	,2.39	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,2.31	,1.02	,2.18	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,2.31	,1.02	,1.97	,
豆类产量 (万吨) 	,	,23.76	,22.94	,14.48	,10.77	,10.20	,14.80	,13.96	,14.60	,10.34	,
绿豆产量 (万吨) 	,	,	,	,0.20	,0.15	,0.07	,	,3.13	,1.02	,0.45	,
红小豆产量 (万吨) 	,	,	,	,0.01	,0.06	,0.01	,	,1.13	,1.01	,0.03	,
大豆产量 (万吨) 	,	,19.58	,19.35	,12.11	,5.62	,5.22	,10.69	,7.64	,10.18	,7.60	,
薯类产量 (万吨) 	,	,42.42	,23.27	,19.66	,20.87	,15.79	,15.98	,11.45	,15.78	,15.80	,
马铃薯产量 (万吨) 	,	,	,	,16.52	,18.49	,15.11	,13.28	,10.20	,13.58	,14.96	,
棉花产量 (万吨) 	,	,568.6133	,511.2467	,539.3707	,512.8515	,516.0755	,500.2000	,511.0900	,456.6574	,407.8000	,
油料产量 (万吨) 	,	,49.81	,43.19	,37.23	,34.60	,54.85	,66.41	,67.81	,69.66	,77.43	,
花生产量 (万吨) 	,	,5.76	,7.68	,6.61	,1.16	,0.90	,1.03	,2.73	,1.87	,2.66	,
油菜籽产量 (万吨) 	,	,7.17	,9.14	,8.48	,8.13	,8.60	,14.31	,17.72	,15.04	,10.00	,
芝麻产量 (万吨) 	,	,0.02	,0.03	,0.00	,0.03	,0.02	,0.02	,0.04	,0.01	,0.04	,
葵花籽产量 (万吨) 	,	,	,	,18.16	,21.90	,41.73	,43.89	,40.97	,46.06	,58.17	,
胡麻籽产量 (万吨) 	,	,	,	,0.11	,0.10	,0.24	,0.30	,0.68	,0.93	,1.17	,
糖料产量 (万吨) 	,	,731.08	,499.88	,399.14	,346.54	,462.20	,445.33	,424.73	,448.27	,476.11	,
麻类产量 (万吨) 	,	,2.47	,1.70	,2.46	,1.76	,3.28	,1.07	,0.66	,0.51	,0.86	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.64	,0.42	,0.76	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.00	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,731.08	,499.88	,399.14	,346.54	,462.23	,445.33	,424.73	,448.27	,476.11	,
烟叶产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,2321.57	,2074.23	,1731.91	,1620.44	,1714.90	,1458.82	,1465.12	,1820.06	,1879.19	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
