数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,3810.10	,3797.70	,3769.13	,3746.10	,3729.06	,3706.20	,3660.28	,3610.80	,3542.44	,
夏收粮食产量 (万吨) 	,	,	,	,1400.30	,1380.74	,1373.79	,1356.64	,1326.42	,1335.82	,1293.20	,
秋粮产量 (万吨) 	,	,	,	,2368.83	,2365.36	,2355.27	,2349.56	,2333.86	,2274.98	,2249.24	,
谷物产量 (万吨) 	,	,3708.62	,3695.56	,3672.57	,3649.62	,3631.65	,3612.04	,3572.53	,3536.21	,3466.65	,
稻谷产量 (万吨) 	,	,1996.03	,2003.25	,1991.61	,1984.63	,1965.70	,1959.64	,1958.03	,1892.57	,1898.94	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,1991.61	,1984.63	,1965.70	,1959.64	,1958.03	,1892.57	,1898.94	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,1398.31	,1373.53	,1365.74	,1342.22	,1333.87	,1317.51	,1289.12	,1295.47	,1245.81	,
冬小麦产量 (万吨) 	,	,	,	,1365.74	,1342.22	,1333.87	,1317.51	,1289.12	,1295.47	,1245.81	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,295.18	,298.85	,295.84	,300.06	,308.30	,311.07	,299.95	,318.07	,284.44	,
谷子产量 (万吨) 	,	,	,	,0.00	,0.01	,0.03	,0.01	,0.01	,0.03	,0.04	,
高粱产量 (万吨) 	,	,	,	,0.96	,0.37	,0.16	,0.18	,0.20	,0.15	,0.16	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,25.22	,29.93	,37.26	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,23.88	,28.33	,35.71	,
豆类产量 (万吨) 	,	,79.33	,79.79	,73.27	,70.08	,71.64	,70.30	,64.97	,58.79	,59.39	,
绿豆产量 (万吨) 	,	,	,	,0.58	,0.78	,0.82	,0.92	,1.01	,0.48	,0.49	,
红小豆产量 (万吨) 	,	,	,	,1.39	,1.72	,1.78	,1.96	,1.94	,1.48	,1.50	,
大豆产量 (万吨) 	,	,62.55	,62.40	,54.75	,50.70	,51.93	,51.29	,49.12	,44.95	,45.98	,
薯类产量 (万吨) 	,	,22.14	,22.35	,23.29	,26.41	,25.77	,23.86	,22.78	,15.80	,16.40	,
马铃薯产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花产量 (万吨) 	,	,0.4382	,0.5028	,0.5799	,0.7879	,1.0600	,1.5660	,2.0600	,2.5725	,3.6924	,
油料产量 (万吨) 	,	,106.11	,103.42	,96.25	,97.81	,93.01	,94.32	,86.04	,85.36	,88.67	,
花生产量 (万吨) 	,	,41.83	,40.71	,39.49	,40.26	,40.63	,42.71	,39.33	,34.78	,35.24	,
油菜籽产量 (万吨) 	,	,62.92	,61.30	,55.66	,56.38	,51.21	,50.45	,45.70	,49.77	,52.60	,
芝麻产量 (万吨) 	,	,1.28	,1.34	,1.07	,1.13	,1.14	,1.09	,0.98	,0.77	,0.81	,
葵花籽产量 (万吨) 	,	,	,	,0.03	,0.03	,0.03	,0.03	,0.03	,0.04	,0.02	,
胡麻籽产量 (万吨) 	,	,	,	,0.00	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,5.41	,5.31	,5.88	,6.56	,7.10	,7.45	,5.28	,4.86	,4.92	,
麻类产量 (万吨) 	,	,0.04	,0.05	,0.05	,0.05	,0.05	,0.05	,0.06	,0.08	,0.08	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.01	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.06	,0.06	,0.08	,
甘蔗产量 (万吨) 	,	,3.27	,3.55	,4.04	,4.72	,5.21	,5.42	,5.26	,4.85	,4.91	,
甜菜产量 (万吨) 	,	,	,1.76	,1.84	,1.84	,1.93	,2.02	,0.02	,0.02	,0.02	,
烟叶产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,	,	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,6312.05	,6135.61	,5974.67	,5856.57	,5728.10	,5643.68	,5625.88	,5540.48	,5593.91	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
