数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,2196.04	,2198.31	,2151.91	,2192.33	,2163.88	,2157.45	,2190.70	,2221.73	,2234.40	,
夏收粮食产量 (万吨) 	,	,	,	,23.41	,22.63	,24.03	,26.31	,26.60	,25.04	,24.56	,
秋粮产量 (万吨) 	,	,	,	,1451.30	,1496.70	,1493.15	,1504.94	,1470.20	,1479.63	,1463.65	,
谷物产量 (万吨) 	,	,2098.73	,2101.96	,2062.77	,2100.12	,2076.26	,2072.17	,2112.17	,2145.94	,2160.10	,
稻谷产量 (万吨) 	,	,2065.54	,2070.73	,2036.50	,2073.94	,2051.20	,2048.30	,2092.20	,2126.15	,2140.51	,
早稻产量 (万吨) 	,	,	,	,677.20	,673.00	,646.70	,626.20	,693.90	,717.07	,746.19	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,616.40	,635.06	,630.20	,686.90	,594.40	,564.39	,551.89	,
双季晚稻产量 (万吨) 	,	,	,	,742.90	,765.88	,774.30	,735.20	,803.90	,844.69	,842.43	,
小麦产量 (万吨) 	,	,3.92	,3.46	,3.10	,3.23	,3.30	,3.04	,3.17	,3.10	,3.04	,
冬小麦产量 (万吨) 	,	,	,	,3.10	,3.23	,3.30	,3.04	,3.17	,3.10	,3.04	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,28.23	,26.46	,22.10	,21.80	,20.66	,19.80	,15.65	,15.40	,15.28	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,0.38	,0.41	,0.31	,0.28	,0.30	,0.35	,0.35	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,0.85	,0.94	,0.92	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.04	,0.05	,0.05	,
豆类产量 (万吨) 	,	,39.32	,37.39	,32.94	,33.14	,32.00	,29.33	,29.43	,28.29	,27.15	,
绿豆产量 (万吨) 	,	,	,	,0.50	,0.50	,0.42	,0.40	,0.46	,0.45	,0.44	,
红小豆产量 (万吨) 	,	,	,	,0.12	,0.10	,0.08	,0.08	,0.08	,0.06	,0.05	,
大豆产量 (万吨) 	,	,30.60	,29.39	,26.36	,27.35	,27.75	,26.42	,26.27	,25.20	,24.26	,
薯类产量 (万吨) 	,	,57.99	,58.96	,56.20	,59.07	,55.62	,55.95	,49.10	,47.50	,47.16	,
马铃薯产量 (万吨) 	,	,	,	,14.30	,14.17	,16.95	,20.81	,20.77	,19.31	,19.06	,
棉花产量 (万吨) 	,	,2.1413	,2.1991	,2.1721	,1.7182	,5.2885	,6.5724	,7.2115	,10.4645	,9.9636	,
油料产量 (万吨) 	,	,151.31	,148.13	,137.46	,130.91	,122.70	,120.78	,120.80	,120.64	,117.74	,
花生产量 (万吨) 	,	,59.38	,57.79	,54.56	,53.56	,50.90	,48.22	,48.06	,46.77	,45.61	,
油菜籽产量 (万吨) 	,	,87.61	,86.29	,79.06	,73.36	,67.81	,68.87	,69.08	,70.40	,68.91	,
芝麻产量 (万吨) 	,	,4.23	,3.97	,3.77	,3.90	,3.89	,3.61	,3.66	,3.29	,3.22	,
葵花籽产量 (万吨) 	,	,	,	,0.07	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,59.79	,61.38	,62.48	,60.68	,61.20	,62.44	,64.57	,67.28	,66.71	,
麻类产量 (万吨) 	,	,0.41	,0.41	,0.43	,0.43	,0.56	,0.55	,0.57	,0.58	,0.63	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,0.01	,0.01	,0.02	,0.06	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.56	,0.56	,0.57	,
甘蔗产量 (万吨) 	,	,59.79	,61.38	,62.48	,60.68	,61.18	,62.44	,64.57	,67.28	,66.71	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,2.49	,2.86	,2.71	,2.59	,2.68	,2.26	,3.61	,5.57	,6.41	,
烤烟产量 (万吨) 	,	,2.48	,2.84	,2.69	,2.57	,2.61	,2.19	,3.42	,5.41	,6.20	,
蔬菜产量 (万吨) 	,	,1931.19	,1860.88	,1786.86	,1730.58	,1642.70	,1581.81	,1537.00	,1490.07	,1420.43	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
