数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,3908.77	,3809.92	,3865.06	,3825.09	,3795.89	,3739.24	,3700.86	,3829.25	,3782.99	,
夏收粮食产量 (万吨) 	,	,	,	,1486.46	,1482.68	,1453.91	,1476.55	,1466.47	,1520.76	,1491.78	,
秋粮产量 (万吨) 	,	,	,	,2378.61	,2342.41	,2341.98	,2262.69	,2234.39	,2308.49	,2291.20	,
谷物产量 (万吨) 	,	,3723.54	,3625.99	,3697.02	,3664.70	,3617.71	,3566.90	,3524.86	,3674.51	,3645.63	,
稻谷产量 (万吨) 	,	,48.59	,48.85	,48.88	,49.60	,48.93	,48.65	,52.49	,50.43	,51.23	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,48.88	,49.60	,48.93	,48.65	,52.49	,50.43	,51.23	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,1499.25	,1485.56	,1474.57	,1469.13	,1439.30	,1462.57	,1450.73	,1504.12	,1480.23	,
冬小麦产量 (万吨) 	,	,	,	,1459.90	,1462.19	,1432.58	,1454.84	,1446.09	,1499.38	,1475.33	,
春小麦产量 (万吨) 	,	,	,	,14.68	,6.94	,6.72	,7.73	,4.64	,4.74	,4.91	,
玉米产量 (万吨) 	,	,2097.58	,2014.28	,2094.70	,2066.77	,2051.82	,1986.64	,1941.15	,2035.48	,2031.21	,
谷子产量 (万吨) 	,	,	,	,39.27	,40.38	,42.75	,37.01	,43.61	,44.96	,45.77	,
高粱产量 (万吨) 	,	,	,	,14.46	,11.32	,8.24	,4.28	,3.81	,0.85	,0.71	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,33.07	,38.67	,36.47	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.07	,0.10	,
豆类产量 (万吨) 	,	,30.96	,29.81	,28.58	,22.58	,29.39	,30.08	,28.13	,20.83	,19.80	,
绿豆产量 (万吨) 	,	,	,	,1.29	,1.50	,1.75	,1.80	,1.79	,1.07	,1.12	,
红小豆产量 (万吨) 	,	,	,	,0.60	,0.75	,0.76	,0.80	,0.80	,0.58	,0.58	,
大豆产量 (万吨) 	,	,25.88	,24.50	,23.01	,16.28	,22.31	,23.02	,21.23	,17.06	,16.03	,
薯类产量 (万吨) 	,	,154.27	,154.13	,139.47	,137.81	,148.79	,142.27	,147.87	,133.91	,117.56	,
马铃薯产量 (万吨) 	,	,	,	,98.40	,93.58	,103.12	,101.19	,106.06	,102.72	,88.43	,
棉花产量 (万吨) 	,	,7.1028	,10.3925	,13.9035	,15.9670	,20.8593	,22.7401	,23.9273	,24.0380	,23.9000	,
油料产量 (万吨) 	,	,128.81	,118.28	,115.45	,118.36	,119.52	,119.54	,121.38	,129.40	,126.20	,
花生产量 (万吨) 	,	,99.33	,94.18	,92.58	,96.30	,96.81	,96.46	,98.45	,103.41	,102.68	,
油菜籽产量 (万吨) 	,	,9.64	,6.33	,5.68	,6.01	,5.65	,3.51	,3.40	,4.17	,3.22	,
芝麻产量 (万吨) 	,	,0.23	,0.24	,0.23	,0.26	,0.26	,0.20	,0.22	,0.20	,0.20	,
葵花籽产量 (万吨) 	,	,	,	,13.58	,12.49	,13.34	,14.33	,15.63	,17.42	,16.82	,
胡麻籽产量 (万吨) 	,	,	,	,2.91	,2.98	,3.20	,4.82	,3.42	,3.81	,3.09	,
糖料产量 (万吨) 	,	,77.18	,65.54	,70.23	,39.60	,63.70	,64.28	,94.11	,62.49	,60.44	,
麻类产量 (万吨) 	,	,0.00	,0.02	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,0.26	,0.06	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜产量 (万吨) 	,	,76.93	,65.48	,70.23	,39.60	,63.68	,64.28	,94.11	,62.49	,60.44	,
烟叶产量 (万吨) 	,	,0.42	,0.39	,0.26	,0.30	,0.19	,0.35	,0.33	,0.22	,0.23	,
烤烟产量 (万吨) 	,	,0.13	,0.14	,0.11	,0.18	,0.12	,0.22	,0.32	,0.22	,0.23	,
蔬菜产量 (万吨) 	,	,5717.29	,5498.04	,5406.79	,5284.21	,5198.20	,5093.14	,5154.50	,5058.53	,5038.89	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
