数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,6719.37	,6624.27	,6789.37	,6544.17	,6825.80	,6695.36	,6648.91	,6524.25	,6498.01	,
夏收粮食产量 (万吨) 	,	,	,	,3813.05	,3803.19	,3753.75	,3745.37	,3613.70	,3715.98	,3628.32	,
秋粮产量 (万吨) 	,	,	,	,2976.32	,2740.98	,3072.05	,2949.99	,3035.21	,2808.27	,2869.69	,
谷物产量 (万吨) 	,	,6512.96	,6409.76	,6582.60	,6345.33	,6631.76	,6528.85	,6483.41	,6382.89	,6360.41	,
稻谷产量 (万吨) 	,	,473.99	,479.22	,479.15	,476.11	,513.71	,512.50	,501.41	,485.25	,508.29	,
早稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,479.15	,476.11	,513.71	,512.50	,501.41	,485.25	,508.29	,
双季晚稻产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦产量 (万吨) 	,	,3785.31	,3549.73	,3812.71	,3802.81	,3753.13	,3741.77	,3602.85	,3705.21	,3618.62	,
冬小麦产量 (万吨) 	,	,	,	,3812.71	,3802.81	,3753.13	,3741.77	,3602.85	,3705.21	,3618.62	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,2238.63	,2365.70	,2275.05	,2051.73	,2342.37	,2247.37	,2351.38	,2170.14	,2216.29	,
谷子产量 (万吨) 	,	,	,	,9.74	,9.98	,14.73	,15.42	,9.00	,7.57	,5.11	,
高粱产量 (万吨) 	,	,	,	,5.76	,4.69	,7.41	,8.19	,7.92	,3.32	,1.50	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,10.85	,11.40	,10.60	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,10.85	,11.40	,10.60	,
豆类产量 (万吨) 	,	,86.21	,95.90	,88.55	,78.71	,97.87	,102.00	,101.70	,53.36	,49.00	,
绿豆产量 (万吨) 	,	,	,	,2.57	,2.73	,3.15	,3.79	,6.13	,3.00	,2.10	,
红小豆产量 (万吨) 	,	,	,	,0.48	,0.51	,0.68	,	,	,0.00	,0.00	,
大豆产量 (万吨) 	,	,82.78	,92.69	,84.85	,74.79	,93.42	,98.21	,95.57	,50.36	,46.90	,
薯类产量 (万吨) 	,	,120.20	,118.62	,118.23	,120.13	,96.17	,64.51	,63.80	,88.00	,88.60	,
马铃薯产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花产量 (万吨) 	,	,0.6771	,0.7464	,1.3593	,1.3973	,1.8000	,2.7119	,3.7903	,4.3585	,4.8750	,
油料产量 (万吨) 	,	,704.87	,703.04	,684.03	,657.28	,672.57	,645.45	,631.03	,586.95	,549.82	,
花生产量 (万吨) 	,	,638.22	,638.86	,615.41	,588.21	,594.93	,576.72	,572.44	,529.81	,494.27	,
油菜籽产量 (万吨) 	,	,48.38	,45.78	,49.01	,49.44	,45.95	,44.25	,38.97	,42.08	,40.90	,
芝麻产量 (万吨) 	,	,16.63	,16.80	,18.00	,18.17	,18.44	,19.92	,18.81	,14.07	,13.55	,
葵花籽产量 (万吨) 	,	,	,	,1.60	,1.45	,1.54	,1.21	,0.82	,0.97	,1.09	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,8.15	,7.96	,8.44	,9.83	,10.70	,11.93	,15.39	,16.24	,16.67	,
麻类产量 (万吨) 	,	,0.08	,0.33	,0.50	,0.60	,0.67	,1.94	,2.12	,2.24	,2.71	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.66	,1.94	,2.03	,2.22	,2.59	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,8.15	,7.96	,8.44	,9.83	,10.69	,11.93	,15.39	,16.24	,16.67	,
甜菜产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,19.49	,19.51	,19.96	,19.31	,21.02	,22.76	,25.31	,26.70	,28.26	,
烤烟产量 (万吨) 	,	,19.46	,19.04	,19.52	,19.23	,20.82	,22.10	,24.95	,26.37	,27.61	,
蔬菜产量 (万吨) 	,	,8265.29	,8045.56	,7845.30	,7607.15	,7612.40	,7368.74	,7260.67	,7530.22	,7238.18	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
