数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
粮食产量 (万吨) 	,	,650.19	,638.79	,620.97	,620.90	,605.70	,592.15	,599.14	,580.14	,564.84	,
夏收粮食产量 (万吨) 	,	,	,	,73.07	,65.32	,55.66	,47.50	,51.08	,64.50	,48.64	,
秋粮产量 (万吨) 	,	,	,	,477.71	,492.75	,487.27	,484.33	,485.92	,462.87	,460.91	,
谷物产量 (万吨) 	,	,577.00	,567.46	,546.89	,547.40	,536.05	,528.57	,535.74	,513.43	,498.92	,
稻谷产量 (万吨) 	,	,492.19	,485.27	,462.89	,469.12	,465.12	,462.06	,477.40	,444.91	,444.83	,
早稻产量 (万吨) 	,	,	,	,70.19	,62.83	,62.78	,60.32	,62.13	,52.77	,55.29	,
中稻和一季晚稻产量 (万吨) 	,	,	,	,326.67	,347.92	,342.82	,337.62	,352.85	,333.64	,330.66	,
双季晚稻产量 (万吨) 	,	,	,	,66.04	,58.37	,59.52	,64.12	,62.43	,58.50	,58.89	,
小麦产量 (万吨) 	,	,71.79	,66.43	,55.26	,48.34	,40.79	,32.38	,35.79	,41.92	,28.28	,
冬小麦产量 (万吨) 	,	,	,	,55.26	,48.34	,40.79	,32.38	,35.79	,41.92	,28.28	,
春小麦产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米产量 (万吨) 	,	,9.07	,12.16	,24.11	,25.56	,25.91	,32.32	,20.64	,23.04	,21.88	,
谷子产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,1.91	,3.56	,3.92	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,0.17	,1.97	,2.20	,
豆类产量 (万吨) 	,	,28.32	,28.76	,30.24	,30.03	,30.84	,30.58	,28.22	,27.38	,27.14	,
绿豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆产量 (万吨) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
大豆产量 (万吨) 	,	,23.18	,21.61	,21.13	,21.27	,21.75	,23.36	,21.46	,20.38	,20.36	,
薯类产量 (万吨) 	,	,44.87	,42.57	,43.84	,43.48	,38.81	,33.00	,35.17	,39.32	,38.79	,
马铃薯产量 (万吨) 	,	,	,	,10.63	,10.64	,8.97	,12.62	,13.20	,18.66	,16.47	,
棉花产量 (万吨) 	,	,0.1973	,0.3381	,0.4762	,0.5566	,0.6857	,0.8136	,0.8119	,0.6433	,0.8262	,
油料产量 (万吨) 	,	,36.24	,35.57	,32.96	,31.71	,32.09	,31.93	,29.43	,26.90	,25.98	,
花生产量 (万吨) 	,	,5.09	,5.06	,4.84	,4.95	,5.18	,5.03	,4.74	,5.10	,5.01	,
油菜籽产量 (万吨) 	,	,30.25	,29.43	,27.31	,25.77	,25.75	,25.66	,23.34	,20.20	,19.37	,
芝麻产量 (万吨) 	,	,0.82	,1.03	,0.77	,0.82	,0.88	,1.01	,0.93	,0.00	,0.00	,
葵花籽产量 (万吨) 	,	,	,	,0.00	,0.01	,0.02	,	,0.00	,0.00	,0.00	,
胡麻籽产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料产量 (万吨) 	,	,38.12	,37.66	,39.19	,42.37	,46.40	,44.68	,40.59	,37.50	,40.98	,
麻类产量 (万吨) 	,	,0.00	,0.00	,0.00	,0.00	,0.01	,0.01	,0.01	,0.02	,0.02	,
黄红麻产量 (万吨) 	,	,	,	,	,	,0.00	,0.01	,0.01	,0.02	,0.02	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗产量 (万吨) 	,	,38.12	,37.66	,39.19	,42.37	,46.39	,44.68	,40.59	,37.50	,40.98	,
甜菜产量 (万吨) 	,	,	,	,	,	,0.00	,	,0.00	,0.00	,0.00	,
烟叶产量 (万吨) 	,	,0.06	,0.09	,0.10	,0.10	,0.11	,0.11	,0.12	,0.14	,0.14	,
烤烟产量 (万吨) 	,	,0.02	,0.05	,0.05	,0.05	,0.03	,	,0.00	,0.00	,0.00	,
蔬菜产量 (万吨) 	,	,2050.70	,1992.51	,1976.66	,1933.56	,1945.50	,1903.09	,1888.37	,1910.45	,1865.09	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
